#Xaxis_B4     YlengthB4     discharge_B4   dischargeEFF_B4  dischargeINEFF_B4  rech_Moulins_B4  rech_meltR_B4  P_B4
1.562500e-01  2.000000e+04  -0.000000e+00  -0.000000e+00    -0.000000e+00      9.015860e+01     8.075019e-01   6.755066e-02
4.687500e-01  2.000000e+04  9.104546e+01   5.331206e+00     8.571425e+01       9.015810e+01     8.074928e-01   1.821780e-01
7.812500e-01  2.000000e+04  9.104494e+01   7.123124e-01     9.033263e+01       9.015761e+01     8.074723e-01   2.935517e-01
1.093750e+00  2.000000e+04  9.104442e+01   2.358697e-01     9.080855e+01       9.015711e+01     8.074478e-01   4.019379e-01
1.406250e+00  2.000000e+04  9.104389e+01   1.236684e-01     9.092022e+01       9.015662e+01     8.074194e-01   5.075554e-01
1.718750e+00  2.000000e+04  9.104336e+01   8.661874e-02     9.095674e+01       9.015612e+01     8.073850e-01   6.105886e-01
2.031250e+00  2.000000e+04  9.104281e+01   7.450720e-02     9.096831e+01       9.015563e+01     8.073411e-01   7.111910e-01
2.343750e+00  2.000000e+04  9.104225e+01   7.476332e-02     9.096749e+01       9.015513e+01     8.072824e-01   8.094839e-01
2.656250e+00  2.000000e+04  9.104167e+01   8.425396e-02     9.095741e+01       9.015463e+01     8.072001e-01   9.055523e-01
2.968750e+00  2.000000e+04  9.104104e+01   1.033854e-01     9.093766e+01       9.015414e+01     8.070810e-01   9.994363e-01
3.281250e+00  2.000000e+04  9.104035e+01   1.346299e-01     9.090572e+01       9.015364e+01     8.069045e-01   1.091119e+00
3.593750e+00  2.000000e+04  9.103957e+01   1.822122e-01     9.085735e+01       9.015315e+01     8.066395e-01   1.180509e+00
3.906250e+00  2.000000e+04  9.103863e+01   2.521210e-01     9.078651e+01       9.015265e+01     8.062407e-01   1.267420e+00
4.218750e+00  2.000000e+04  9.103747e+01   3.519829e-01     9.068549e+01       9.015215e+01     8.056433e-01   1.351550e+00
4.531250e+00  2.000000e+04  9.102962e+01   4.880063e-01     9.054162e+01       9.014527e+01     8.047599e-01   1.432469e+00
4.843750e+00  2.000000e+04  9.060861e+01   6.432934e-01     8.996532e+01       8.972566e+01     8.034894e-01   1.509698e+00
5.156250e+00  2.000000e+04  8.743176e+01   7.683098e-01     8.666345e+01       8.655067e+01     8.017916e-01   1.583041e+00
5.468750e+00  2.000000e+04  8.425284e+01   9.073445e-01     8.334550e+01       8.337410e+01     7.996550e-01   1.652064e+00
5.781250e+00  2.000000e+04  8.366763e+01   1.108038e+00     8.255959e+01       8.279187e+01     7.969397e-01   1.715795e+00
6.093750e+00  2.000000e+04  8.178380e+01   1.276277e+00     8.050752e+01       8.091177e+01     7.935476e-01   1.774077e+00
6.406250e+00  2.000000e+04  7.898686e+01   1.415234e+00     7.757162e+01       7.811922e+01     7.895492e-01   1.826950e+00
6.718750e+00  2.000000e+04  7.842395e+01   1.630970e+00     7.679298e+01       7.756146e+01     7.848696e-01   1.873464e+00
7.031250e+00  2.000000e+04  7.840413e+01   1.891426e+00     7.651270e+01       7.754773e+01     7.793234e-01   1.913258e+00
7.343750e+00  2.000000e+04  7.839638e+01   2.150733e+00     7.624564e+01       7.754707e+01     7.728688e-01   1.946522e+00
7.656250e+00  2.000000e+04  7.835444e+01   2.371518e+00     7.598292e+01       7.751317e+01     7.655552e-01   1.973811e+00
7.968750e+00  2.000000e+04  7.743784e+01   2.455571e+00     7.498227e+01       7.660534e+01     7.575797e-01   1.996495e+00
8.281250e+00  2.000000e+04  7.440536e+01   2.367964e+00     7.203739e+01       7.358185e+01     7.493962e-01   2.016718e+00
8.593750e+00  2.000000e+04  7.303282e+01   2.356113e+00     7.067671e+01       7.221833e+01     7.411893e-01   2.033858e+00
8.906250e+00  2.000000e+04  7.276021e+01   2.407065e+00     7.035314e+01       7.195502e+01     7.327196e-01   2.047533e+00
9.218750e+00  2.000000e+04  7.181898e+01   2.409686e+00     6.940929e+01       7.102336e+01     7.240079e-01   2.058722e+00
9.531250e+00  2.000000e+04  7.118118e+01   2.416890e+00     6.876429e+01       7.039527e+01     7.151759e-01   2.067686e+00
9.843750e+00  2.000000e+04  7.090706e+01   2.416955e+00     6.849011e+01       7.013101e+01     7.062064e-01   2.074655e+00
1.015625e+01  2.000000e+04  6.930897e+01   2.321642e+00     6.698733e+01       6.854274e+01     6.972715e-01   2.081140e+00
1.046875e+01  2.000000e+04  6.771114e+01   2.233037e+00     6.547811e+01       6.695447e+01     6.885729e-01   2.087340e+00
1.078125e+01  2.000000e+04  6.743744e+01   2.211255e+00     6.522618e+01       6.669021e+01     6.799765e-01   2.092277e+00
1.109375e+01  2.000000e+04  6.679991e+01   2.169865e+00     6.463004e+01       6.606212e+01     6.713915e-01   2.096447e+00
1.140625e+01  2.000000e+04  6.585878e+01   2.117325e+00     6.374146e+01       6.513030e+01     6.629169e-01   2.100266e+00
1.171875e+01  2.000000e+04  6.556057e+01   2.074709e+00     6.348586e+01       6.484131e+01     6.545278e-01   2.103400e+00
1.203125e+01  2.000000e+04  6.373521e+01   1.904128e+00     6.183108e+01       6.302492e+01     6.463611e-01   2.107631e+00
1.234375e+01  2.000000e+04  5.969581e+01   1.650150e+00     5.804566e+01       5.899377e+01     6.388612e-01   2.114853e+00
1.265625e+01  2.000000e+04  5.847794e+01   1.553689e+00     5.692425e+01       5.778349e+01     6.319455e-01   2.122034e+00
1.296875e+01  2.000000e+04  5.842538e+01   1.552397e+00     5.687298e+01       5.773845e+01     6.251004e-01   2.127760e+00
1.328125e+01  2.000000e+04  5.841708e+01   1.570039e+00     5.684704e+01       5.773777e+01     6.181661e-01   2.132045e+00
1.359375e+01  2.000000e+04  5.840445e+01   1.582984e+00     5.682147e+01       5.773287e+01     6.111443e-01   2.135136e+00
1.390625e+01  2.000000e+04  5.821044e+01   1.567009e+00     5.664343e+01       5.754661e+01     6.040836e-01   2.137484e+00
1.421875e+01  2.000000e+04  5.727161e+01   1.504261e+00     5.576735e+01       5.661544e+01     5.971189e-01   2.139931e+00
1.453125e+01  2.000000e+04  5.663763e+01   1.462490e+00     5.517514e+01       5.598894e+01     5.903155e-01   2.142229e+00
1.484375e+01  2.000000e+04  5.647075e+01   1.440823e+00     5.502993e+01       5.582946e+01     5.835801e-01   2.144042e+00
1.515625e+01  2.000000e+04  5.566881e+01   1.390636e+00     5.427817e+01       5.503481e+01     5.769375e-01   2.146090e+00
1.546875e+01  2.000000e+04  5.486705e+01   1.347860e+00     5.351919e+01       5.424016e+01     5.704641e-01   2.148345e+00
1.578125e+01  2.000000e+04  5.470056e+01   1.328952e+00     5.337161e+01       5.408068e+01     5.640850e-01   2.150196e+00
1.609375e+01  2.000000e+04  5.406713e+01   1.291291e+00     5.277584e+01       5.345418e+01     5.577811e-01   2.152224e+00
1.640625e+01  2.000000e+04  5.312920e+01   1.249929e+00     5.187927e+01       5.252301e+01     5.516348e-01   2.154715e+00
1.671875e+01  2.000000e+04  5.293632e+01   1.237090e+00     5.169923e+01       5.233675e+01     5.456010e-01   2.156809e+00
1.703125e+01  2.000000e+04  5.292479e+01   1.237307e+00     5.168748e+01       5.233185e+01     5.395747e-01   2.158278e+00
1.734375e+01  2.000000e+04  5.291764e+01   1.239176e+00     5.167847e+01       5.233134e+01     5.335349e-01   2.159184e+00
1.765625e+01  2.000000e+04  5.291050e+01   1.240152e+00     5.167035e+01       5.233085e+01     5.274863e-01   2.159622e+00
1.796875e+01  2.000000e+04  5.290336e+01   1.240040e+00     5.166332e+01       5.233035e+01     5.214363e-01   2.159679e+00
1.828125e+01  2.000000e+04  5.289622e+01   1.239021e+00     5.165720e+01       5.232985e+01     5.153915e-01   2.159429e+00
1.859375e+01  2.000000e+04  5.288909e+01   1.237363e+00     5.165173e+01       5.232936e+01     5.093572e-01   2.158934e+00
1.890625e+01  2.000000e+04  5.288198e+01   1.235402e+00     5.164658e+01       5.232886e+01     5.033378e-01   2.158246e+00
1.921875e+01  2.000000e+04  5.287489e+01   1.233543e+00     5.164134e+01       5.232836e+01     4.973359e-01   2.157410e+00
1.953125e+01  2.000000e+04  5.286622e+01   1.230759e+00     5.163546e+01       5.232627e+01     4.913532e-01   2.156477e+00
1.984375e+01  2.000000e+04  5.275441e+01   1.213678e+00     5.154073e+01       5.222100e+01     4.854049e-01   2.155645e+00
2.015625e+01  2.000000e+04  5.195390e+01   1.159525e+00     5.079437e+01       5.142688e+01     4.795845e-01   2.155619e+00
2.046875e+01  2.000000e+04  5.115361e+01   1.111619e+00     5.004199e+01       5.063276e+01     4.739696e-01   2.156268e+00
2.078125e+01  2.000000e+04  5.104230e+01   1.096237e+00     4.994606e+01       5.052749e+01     4.684768e-01   2.156808e+00
2.109375e+01  2.000000e+04  5.103420e+01   1.094600e+00     4.993960e+01       5.052540e+01     4.630078e-01   2.157069e+00
2.140625e+01  2.000000e+04  5.102738e+01   1.095237e+00     4.993214e+01       5.052458e+01     4.575430e-01   2.157083e+00
2.171875e+01  2.000000e+04  5.096951e+01   1.085434e+00     4.988408e+01       5.047271e+01     4.520887e-01   2.157029e+00
2.203125e+01  2.000000e+04  5.005741e+01   1.030474e+00     4.902693e+01       4.956648e+01     4.467452e-01   2.157937e+00
2.234375e+01  2.000000e+04  4.803591e+01   9.509682e-01     4.708494e+01       4.755053e+01     4.416928e-01   2.160775e+00
2.265625e+01  2.000000e+04  4.739185e+01   9.068205e-01     4.648503e+01       4.691174e+01     4.369079e-01   2.164057e+00
2.296875e+01  2.000000e+04  4.645668e+01   8.249804e-01     4.563170e+01       4.598163e+01     4.322910e-01   2.167970e+00
2.328125e+01  2.000000e+04  4.342846e+01   6.809938e-01     4.274746e+01       4.295807e+01     4.280562e-01   2.174138e+00
2.359375e+01  2.000000e+04  4.206515e+01   6.129163e-01     4.145223e+01       4.159896e+01     4.242280e-01   2.180808e+00
2.390625e+01  2.000000e+04  4.198349e+01   6.063216e-01     4.137716e+01       4.152141e+01     4.204921e-01   2.186614e+00
2.421875e+01  2.000000e+04  4.197836e+01   6.151505e-01     4.136321e+01       4.152044e+01     4.167083e-01   2.191429e+00
2.453125e+01  2.000000e+04  4.197364e+01   6.248926e-01     4.134875e+01       4.151994e+01     4.128652e-01   2.195349e+00
2.484375e+01  2.000000e+04  4.196886e+01   6.335766e-01     4.133529e+01       4.151945e+01     4.089696e-01   2.198489e+00
2.515625e+01  2.000000e+04  4.196404e+01   6.410659e-01     4.132297e+01       4.151895e+01     4.050303e-01   2.200960e+00
2.546875e+01  2.000000e+04  4.195865e+01   6.468955e-01     4.131175e+01       4.151793e+01     4.010555e-01   2.202870e+00
2.578125e+01  2.000000e+04  4.189956e+01   6.437462e-01     4.125581e+01       4.146323e+01     3.970595e-01   2.204408e+00
2.609375e+01  2.000000e+04  4.127031e+01   6.144994e-01     4.065581e+01       4.083832e+01     3.931112e-01   2.206217e+00
2.640625e+01  2.000000e+04  4.033494e+01   5.813630e-01     3.975358e+01       3.990715e+01     3.892919e-01   2.208537e+00
2.671875e+01  2.000000e+04  4.014459e+01   5.711120e-01     3.957348e+01       3.972089e+01     3.855643e-01   2.210647e+00
2.703125e+01  2.000000e+04  4.013559e+01   5.715180e-01     3.956408e+01       3.971599e+01     3.818426e-01   2.212329e+00
2.734375e+01  2.000000e+04  4.013098e+01   5.738751e-01     3.955711e+01       3.971548e+01     3.781070e-01   2.213601e+00
2.765625e+01  2.000000e+04  4.012637e+01   5.762470e-01     3.955012e+01       3.971498e+01     3.743577e-01   2.214513e+00
2.796875e+01  2.000000e+04  4.012174e+01   5.784591e-01     3.954328e+01       3.971449e+01     3.705972e-01   2.215114e+00
2.828125e+01  2.000000e+04  4.011709e+01   5.806526e-01     3.953644e+01       3.971398e+01     3.668279e-01   2.215452e+00
2.859375e+01  2.000000e+04  4.010803e+01   5.812552e-01     3.952678e+01       3.970908e+01     3.630523e-01   2.215596e+00
2.890625e+01  2.000000e+04  3.991765e+01   5.683631e-01     3.934929e+01       3.952282e+01     3.592924e-01   2.215847e+00
2.921875e+01  2.000000e+04  3.898246e+01   5.314366e-01     3.845102e+01       3.859165e+01     3.556374e-01   2.216974e+00
2.953125e+01  2.000000e+04  3.835370e+01   5.069499e-01     3.784675e+01       3.796674e+01     3.521337e-01   2.218559e+00
2.984375e+01  2.000000e+04  3.829522e+01   5.006612e-01     3.779456e+01       3.791204e+01     3.486958e-01   2.219932e+00
3.015625e+01  2.000000e+04  3.829043e+01   5.006572e-01     3.778977e+01       3.791102e+01     3.452612e-01   2.220980e+00
3.046875e+01  2.000000e+04  3.828615e+01   5.016547e-01     3.778450e+01       3.791052e+01     3.418198e-01   2.221725e+00
3.078125e+01  2.000000e+04  3.828187e+01   5.025835e-01     3.777928e+01       3.791003e+01     3.383719e-01   2.222202e+00
3.109375e+01  2.000000e+04  3.827758e+01   5.032421e-01     3.777433e+01       3.790953e+01     3.349196e-01   2.222449e+00
3.140625e+01  2.000000e+04  3.827328e+01   5.036040e-01     3.776968e+01       3.790904e+01     3.314651e-01   2.222498e+00
3.171875e+01  2.000000e+04  3.826899e+01   5.036945e-01     3.776530e+01       3.790854e+01     3.280107e-01   2.222381e+00
3.203125e+01  2.000000e+04  3.826470e+01   5.035592e-01     3.776114e+01       3.790805e+01     3.245583e-01   2.222123e+00
3.234375e+01  2.000000e+04  3.826042e+01   5.032585e-01     3.775716e+01       3.790755e+01     3.211094e-01   2.221746e+00
3.265625e+01  2.000000e+04  3.825614e+01   5.028765e-01     3.775326e+01       3.790705e+01     3.176652e-01   2.221271e+00
3.296875e+01  2.000000e+04  3.825186e+01   5.025502e-01     3.774931e+01       3.790656e+01     3.142266e-01   2.220714e+00
3.328125e+01  2.000000e+04  3.824758e+01   5.024829e-01     3.774510e+01       3.790605e+01     3.107936e-01   2.220091e+00
3.359375e+01  2.000000e+04  3.823891e+01   5.013908e-01     3.773752e+01       3.790115e+01     3.073663e-01   2.219442e+00
3.390625e+01  2.000000e+04  3.804892e+01   4.891479e-01     3.755977e+01       3.771489e+01     3.039631e-01   2.219056e+00
3.421875e+01  2.000000e+04  3.711412e+01   4.569861e-01     3.665713e+01       3.678372e+01     3.006649e-01   2.219713e+00
3.453125e+01  2.000000e+04  3.648575e+01   4.361407e-01     3.604961e+01       3.615881e+01     2.975139e-01   2.220961e+00
