#Xaxis_E3     YlengthE3     discharge_E3  dischargeEFF_E3  dischargeINEFF_E3  rech_Moulins_E3  rech_meltR_E3  P_E3
2.226562e-01  6.093750e+02  6.525977e+00  1.154015e+00     5.371963e+00       6.480672e+00     4.104210e-02   7.332096e-01
2.460938e-01  6.093750e+02  6.509425e+00  8.928100e-01     5.616615e+00       6.464134e+00     4.104210e-02   7.878605e-01
2.695312e-01  6.562500e+02  6.342206e+00  1.457256e+00     4.884950e+00       6.447595e+00     4.099772e-02   8.453262e-01
2.929688e-01  6.562500e+02  6.474866e+00  7.887072e-01     5.686158e+00       6.429784e+00     4.086572e-02   8.939296e-01
3.164062e-01  6.562500e+02  6.457039e+00  5.288983e-01     5.928141e+00       6.411973e+00     4.086572e-02   9.381929e-01
3.398438e-01  7.031250e+02  6.312482e+00  1.053398e+00     5.259084e+00       6.394162e+00     4.083292e-02   9.865893e-01
3.632812e-01  7.031250e+02  6.419981e+00  1.024987e+00     5.394994e+00       6.375078e+00     4.073429e-02   1.025088e+00
3.867188e-01  7.031250e+02  6.400866e+00  1.019609e+00     5.381257e+00       6.355995e+00     4.071618e-02   1.058853e+00
4.101562e-01  7.031250e+02  6.381743e+00  1.435688e+00     4.946055e+00       6.336912e+00     4.068005e-02   1.090302e+00
4.335938e-01  7.031250e+02  6.362613e+00  1.779787e+00     4.582826e+00       6.317829e+00     4.063275e-02   1.120303e+00
4.570312e-01  7.500000e+02  6.270061e+00  2.138309e+00     4.131753e+00       6.298745e+00     4.056871e-02   1.157972e+00
4.804688e-01  7.500000e+02  6.323002e+00  2.393722e+00     3.929280e+00       6.278390e+00     4.045851e-02   1.187644e+00
5.039062e-01  7.500000e+02  6.302534e+00  2.592604e+00     3.709930e+00       6.258034e+00     4.035385e-02   1.215440e+00
5.273438e-01  7.500000e+02  6.281999e+00  2.891509e+00     3.390489e+00       6.237679e+00     4.020795e-02   1.242929e+00
5.507812e-01  7.500000e+02  6.261390e+00  3.013948e+00     3.247441e+00       6.217323e+00     4.001245e-02   1.268723e+00
5.742188e-01  7.500000e+02  6.240788e+00  2.991019e+00     3.249769e+00       6.196968e+00     3.981107e-02   1.291531e+00
5.976562e-01  7.968750e+02  6.151037e+00  2.893119e+00     3.257918e+00       6.176613e+00     3.965809e-02   1.322135e+00
6.210938e-01  7.968750e+02  6.198482e+00  2.880759e+00     3.317722e+00       6.154985e+00     3.948789e-02   1.340076e+00
6.445312e-01  7.968750e+02  6.176718e+00  2.898681e+00     3.278037e+00       6.133357e+00     3.935517e-02   1.354742e+00
6.679688e-01  7.968750e+02  6.154930e+00  3.021736e+00     3.133194e+00       6.111729e+00     3.920642e-02   1.369569e+00
6.914062e-01  7.968750e+02  6.133123e+00  3.144631e+00     2.988493e+00       6.090102e+00     3.903992e-02   1.385143e+00
7.148438e-01  7.968750e+02  6.111290e+00  3.285385e+00     2.825905e+00       6.068474e+00     3.884868e-02   1.401557e+00
7.382812e-01  7.968750e+02  6.089403e+00  3.422190e+00     2.667213e+00       6.046846e+00     3.862239e-02   1.418692e+00
7.617188e-01  7.968750e+02  6.067435e+00  3.535087e+00     2.532349e+00       6.025219e+00     3.834868e-02   1.435766e+00
7.851562e-01  8.437500e+02  6.034886e+00  3.504293e+00     2.530593e+00       6.003591e+00     3.801826e-02   1.462562e+00
8.085938e-01  8.437500e+02  6.022105e+00  3.309029e+00     2.713076e+00       5.980691e+00     3.769438e-02   1.475217e+00
8.320312e-01  8.437500e+02  5.999036e+00  3.158586e+00     2.840450e+00       5.957791e+00     3.749818e-02   1.482863e+00
8.554688e-01  8.437500e+02  5.975975e+00  3.161804e+00     2.814171e+00       5.934891e+00     3.731008e-02   1.488479e+00
8.789062e-01  8.437500e+02  5.952895e+00  3.198135e+00     2.754761e+00       5.911991e+00     3.711978e-02   1.493885e+00
