#Xaxis_E4     YlengthE4     discharge_E4   dischargeEFF_E4  dischargeINEFF_E4  rech_Moulins_E4  rech_meltR_E4  P_E4
1.171875e-02  2.812500e+02  -0.000000e+00  -0.000000e+00    -0.000000e+00      6.597716e+00     2.289434e-02   5.667513e-02
3.515625e-02  3.750000e+02  6.334727e+00   6.068696e+00     2.660311e-01       6.590083e+00     2.289224e-02   1.451709e-01
5.859375e-02  4.218750e+02  6.473124e+00   5.594356e+00     8.787680e-01       6.579905e+00     2.288828e-02   2.261408e-01
8.203125e-02  4.687500e+02  6.471265e+00   3.486076e+00     2.985189e+00       6.568455e+00     2.288457e-02   3.026984e-01
1.054688e-01  5.156250e+02  6.482342e+00   1.383925e+00     5.098417e+00       6.555733e+00     2.288102e-02   3.757794e-01
1.289062e-01  5.156250e+02  6.566883e+00   7.199144e-01     5.846969e+00       6.541739e+00     2.287755e-02   4.392677e-01
1.523438e-01  5.625000e+02  6.452489e+00   4.420737e-01     6.010415e+00       6.527744e+00     2.287422e-02   5.061796e-01
1.757812e-01  5.625000e+02  6.537613e+00   3.072608e-01     6.230352e+00       6.512478e+00     2.287074e-02   5.630714e-01
1.992188e-01  6.093750e+02  6.437407e+00   2.311875e-01     6.206219e+00       6.497211e+00     2.286726e-02   6.256374e-01
2.226562e-01  6.093750e+02  6.505798e+00   1.869460e-01     6.318852e+00       6.480672e+00     2.286352e-02   6.773233e-01
2.460938e-01  6.093750e+02  6.489255e+00   1.598568e-01     6.329398e+00       6.464134e+00     2.285966e-02   7.267367e-01
2.695312e-01  6.562500e+02  6.399714e+00   1.418478e-01     6.257867e+00       6.447595e+00     2.285560e-02   7.843192e-01
2.929688e-01  6.562500e+02  6.454895e+00   1.299979e-01     6.324897e+00       6.429784e+00     2.285113e-02   8.299029e-01
3.164062e-01  6.562500e+02  6.437079e+00   1.229562e-01     6.314123e+00       6.411973e+00     2.284640e-02   8.737588e-01
3.398438e-01  7.031250e+02  6.362806e+00   1.186514e-01     6.244154e+00       6.394162e+00     2.284131e-02   9.281713e-01
3.632812e-01  7.031250e+02  6.400173e+00   1.165580e-01     6.283615e+00       6.375078e+00     2.283564e-02   9.690851e-01
3.867188e-01  7.031250e+02  6.381083e+00   1.171108e-01     6.263972e+00       6.355995e+00     2.282954e-02   1.008631e+00
4.101562e-01  7.031250e+02  6.361992e+00   1.202681e-01     6.241724e+00       6.336912e+00     2.282284e-02   1.046901e+00
4.335938e-01  7.031250e+02  6.342901e+00   1.250059e-01     6.217895e+00       6.317829e+00     2.281542e-02   1.083979e+00
4.570312e-01  7.500000e+02  6.280156e+00   1.297618e-01     6.150394e+00       6.298745e+00     2.280721e-02   1.134367e+00
4.804688e-01  7.500000e+02  6.303443e+00   1.349854e-01     6.168457e+00       6.278390e+00     2.279799e-02   1.169397e+00
5.039062e-01  7.500000e+02  6.283076e+00   1.422184e-01     6.140858e+00       6.258034e+00     2.278794e-02   1.203430e+00
5.273438e-01  7.500000e+02  6.262708e+00   1.515957e-01     6.111113e+00       6.237679e+00     2.277677e-02   1.236515e+00
5.507812e-01  7.500000e+02  6.242339e+00   1.624619e-01     6.079877e+00       6.217323e+00     2.276432e-02   1.268699e+00
5.742188e-01  7.500000e+02  6.221969e+00   1.743110e-01     6.047658e+00       6.196968e+00     2.275043e-02   1.300023e+00
5.976562e-01  7.968750e+02  6.169165e+00   1.856925e-01     5.983473e+00       6.176613e+00     2.273503e-02   1.347466e+00
6.210938e-01  7.968750e+02  6.179950e+00   1.968862e-01     5.983063e+00       6.154985e+00     2.271790e-02   1.377319e+00
6.445312e-01  7.968750e+02  6.158301e+00   2.101071e-01     5.948194e+00       6.133357e+00     2.269926e-02   1.406411e+00
6.679688e-01  7.968750e+02  6.136651e+00   2.254380e-01     5.911213e+00       6.111729e+00     2.267868e-02   1.434766e+00
6.914062e-01  7.968750e+02  6.114998e+00   2.421309e-01     5.872868e+00       6.090102e+00     2.265598e-02   1.462408e+00
7.148438e-01  7.968750e+02  6.093343e+00   2.599076e-01     5.833436e+00       6.068474e+00     2.263096e-02   1.489358e+00
7.382812e-01  7.968750e+02  6.071685e+00   2.785574e-01     5.793128e+00       6.046846e+00     2.260346e-02   1.515632e+00
7.617188e-01  7.968750e+02  6.050025e+00   2.975772e-01     5.752447e+00       6.025219e+00     2.257330e-02   1.541247e+00
7.851562e-01  8.437500e+02  6.004744e+00   3.153077e-01     5.689436e+00       6.003591e+00     2.254048e-02   1.585930e+00
8.085938e-01  8.437500e+02  6.005422e+00   3.318436e-01     5.673578e+00       5.980691e+00     2.250482e-02   1.610460e+00
8.320312e-01  8.437500e+02  5.982480e+00   3.502438e-01     5.632236e+00       5.957791e+00     2.246670e-02   1.634374e+00
8.554688e-01  8.437500e+02  5.959535e+00   3.704682e-01     5.589067e+00       5.934891e+00     2.242555e-02   1.657682e+00
8.789062e-01  8.437500e+02  5.936586e+00   3.915493e-01     5.545037e+00       5.911991e+00     2.238117e-02   1.680397e+00
9.023438e-01  8.437500e+02  5.913634e+00   4.131404e-01     5.500493e+00       5.889092e+00     2.233341e-02   1.702530e+00
9.257812e-01  8.437500e+02  5.890678e+00   4.350125e-01     5.455665e+00       5.866192e+00     2.228215e-02   1.724089e+00
9.492188e-01  8.437500e+02  5.867717e+00   4.569697e-01     5.410748e+00       5.843292e+00     2.222729e-02   1.745082e+00
9.726562e-01  8.437500e+02  5.844753e+00   4.788180e-01     5.365935e+00       5.820392e+00     2.216874e-02   1.765517e+00
9.960938e-01  8.437500e+02  5.821785e+00   5.000563e-01     5.321728e+00       5.797492e+00     2.210640e-02   1.785400e+00
1.019531e+00  8.906250e+02  5.782187e+00   5.190004e-01     5.263187e+00       5.774592e+00     2.204043e-02   1.827352e+00
1.042969e+00  8.906250e+02  5.774564e+00   5.356364e-01     5.238927e+00       5.750420e+00     2.197078e-02   1.846423e+00
1.066406e+00  8.906250e+02  5.750312e+00   5.535771e-01     5.196735e+00       5.726248e+00     2.189815e-02   1.864960e+00
1.089844e+00  8.906250e+02  5.726056e+00   5.727111e-01     5.153345e+00       5.702076e+00     2.182180e-02   1.882978e+00
1.113281e+00  8.906250e+02  5.701795e+00   5.919973e-01     5.109798e+00       5.677904e+00     2.174163e-02   1.900488e+00
1.136719e+00  8.906250e+02  5.677531e+00   6.111156e-01     5.066415e+00       5.653731e+00     2.165759e-02   1.917501e+00
1.160156e+00  8.906250e+02  5.653262e+00   6.298883e-01     5.023374e+00       5.629559e+00     2.156969e-02   1.934027e+00
1.183594e+00  8.906250e+02  5.628989e+00   6.481897e-01     4.980800e+00       5.605387e+00     2.147794e-02   1.950076e+00
1.207031e+00  8.906250e+02  5.604712e+00   6.659195e-01     4.938793e+00       5.581215e+00     2.138235e-02   1.965656e+00
1.230469e+00  8.906250e+02  5.580431e+00   6.829926e-01     4.897438e+00       5.557043e+00     2.128298e-02   1.980776e+00
1.253906e+00  8.906250e+02  5.556145e+00   6.993312e-01     4.856814e+00       5.532871e+00     2.117984e-02   1.995444e+00
1.277344e+00  8.906250e+02  5.531856e+00   7.148602e-01     4.816996e+00       5.508699e+00     2.107300e-02   2.009666e+00
1.300781e+00  8.906250e+02  5.507562e+00   7.294989e-01     4.778063e+00       5.484527e+00     2.096250e-02   2.023447e+00
1.324219e+00  8.906250e+02  5.483265e+00   7.429049e-01     4.740360e+00       5.460354e+00     2.084839e-02   2.036794e+00
1.347656e+00  9.375000e+02  5.447788e+00   7.536860e-01     4.694102e+00       5.436182e+00     2.073099e-02   2.075237e+00
1.371094e+00  9.375000e+02  5.433387e+00   7.617679e-01     4.671619e+00       5.410738e+00     2.061040e-02   2.088112e+00
1.394531e+00  9.375000e+02  5.407808e+00   7.706952e-01     4.637112e+00       5.385294e+00     2.048761e-02   2.100558e+00
1.417969e+00  9.375000e+02  5.382225e+00   7.803627e-01     4.601862e+00       5.359849e+00     2.036181e-02   2.112597e+00
1.441406e+00  9.375000e+02  5.356639e+00   7.898528e-01     4.566786e+00       5.334405e+00     2.023295e-02   2.124250e+00
1.464844e+00  9.375000e+02  5.331050e+00   7.989321e-01     4.532118e+00       5.308961e+00     2.010111e-02   2.135529e+00
1.488281e+00  9.375000e+02  5.305457e+00   8.074962e-01     4.497961e+00       5.283516e+00     1.996637e-02   2.146449e+00
1.511719e+00  9.375000e+02  5.279862e+00   8.154864e-01     4.464375e+00       5.258072e+00     1.982883e-02   2.157022e+00
1.535156e+00  9.375000e+02  5.254263e+00   8.228667e-01     4.431397e+00       5.232628e+00     1.968858e-02   2.167258e+00
1.558594e+00  9.375000e+02  5.228662e+00   8.296140e-01     4.399048e+00       5.207183e+00     1.954574e-02   2.177167e+00
1.582031e+00  9.375000e+02  5.203058e+00   8.357134e-01     4.367345e+00       5.181739e+00     1.940040e-02   2.186760e+00
1.605469e+00  9.375000e+02  5.177451e+00   8.411548e-01     4.336297e+00       5.156295e+00     1.925266e-02   2.196045e+00
1.628906e+00  9.375000e+02  5.151842e+00   8.459302e-01     4.305912e+00       5.130850e+00     1.910264e-02   2.205031e+00
