#Xaxis_E2     YlengthE2     discharge_E2  dischargeEFF_E2  dischargeINEFF_E2  rech_Moulins_E2  rech_meltR_E2  P_E2
1.757812e-01  5.625000e+02  6.561164e+00  2.725187e+00     3.835977e+00       6.512478e+00     4.428083e-02   6.209633e-01
1.992188e-01  6.093750e+02  6.343383e+00  2.289242e+00     4.054142e+00       6.497211e+00     4.424844e-02   6.873776e-01
2.226562e-01  6.093750e+02  6.529197e+00  2.039354e+00     4.489842e+00       6.480672e+00     4.413966e-02   7.470516e-01
2.460938e-01  6.093750e+02  6.512630e+00  2.073926e+00     4.438704e+00       6.464134e+00     4.411671e-02   8.037236e-01
2.695312e-01  6.562500e+02  6.368690e+00  2.546405e+00     3.822285e+00       6.447595e+00     4.406683e-02   8.624159e-01
2.929688e-01  6.562500e+02  6.478100e+00  2.590658e+00     3.887441e+00       6.429784e+00     4.395287e-02   9.141205e-01
3.164062e-01  6.562500e+02  6.460239e+00  2.620586e+00     3.839653e+00       6.411973e+00     4.390553e-02   9.629147e-01
3.398438e-01  7.031250e+02  6.350497e+00  2.971791e+00     3.378706e+00       6.394162e+00     4.383701e-02   1.014885e+00
3.632812e-01  7.031250e+02  6.423134e+00  3.081298e+00     3.341837e+00       6.375078e+00     4.372368e-02   1.059399e+00
3.867188e-01  7.031250e+02  6.403953e+00  3.146692e+00     3.257261e+00       6.355995e+00     4.364719e-02   1.100902e+00
4.101562e-01  7.031250e+02  6.384763e+00  3.460549e+00     2.924214e+00       6.336912e+00     4.355319e-02   1.140663e+00
4.335938e-01  7.031250e+02  6.365560e+00  3.715217e+00     2.650344e+00       6.317829e+00     4.343864e-02   1.178878e+00
4.570312e-01  7.500000e+02  6.291532e+00  3.860526e+00     2.431006e+00       6.298745e+00     4.330842e-02   1.221419e+00
4.804688e-01  7.500000e+02  6.325832e+00  3.955329e+00     2.370503e+00       6.278390e+00     4.315005e-02   1.256618e+00
5.039062e-01  7.500000e+02  6.305323e+00  4.046311e+00     2.259012e+00       6.258034e+00     4.300528e-02   1.289535e+00
5.273438e-01  7.500000e+02  6.284782e+00  4.225661e+00     2.059121e+00       6.237679e+00     4.284130e-02   1.321728e+00
5.507812e-01  7.500000e+02  6.264203e+00  4.360515e+00     1.903688e+00       6.217323e+00     4.265353e-02   1.353145e+00
5.742188e-01  7.500000e+02  6.243597e+00  4.408917e+00     1.834680e+00       6.196968e+00     4.244707e-02   1.382975e+00
5.976562e-01  7.968750e+02  6.189999e+00  4.375648e+00     1.814351e+00       6.176613e+00     4.224355e-02   1.417194e+00
6.210938e-01  7.968750e+02  6.201155e+00  4.324399e+00     1.876756e+00       6.154985e+00     4.203602e-02   1.442834e+00
6.445312e-01  7.968750e+02  6.179349e+00  4.312299e+00     1.867050e+00       6.133357e+00     4.186086e-02   1.465503e+00
6.679688e-01  7.968750e+02  6.157526e+00  4.385942e+00     1.771584e+00       6.111729e+00     4.167451e-02   1.486988e+00
6.914062e-01  7.968750e+02  6.135687e+00  4.446513e+00     1.689174e+00       6.090102e+00     4.147650e-02   1.507679e+00
7.148438e-01  7.968750e+02  6.113832e+00  4.496037e+00     1.617795e+00       6.068474e+00     4.126651e-02   1.527661e+00
7.382812e-01  7.968750e+02  6.091961e+00  4.534164e+00     1.557797e+00       6.046846e+00     4.104474e-02   1.546962e+00
7.617188e-01  7.968750e+02  6.070076e+00  4.559217e+00     1.510859e+00       6.025219e+00     4.081183e-02   1.565593e+00
7.851562e-01  8.437500e+02  6.024139e+00  4.556181e+00     1.467958e+00       6.003591e+00     4.056950e-02   1.589864e+00
8.085938e-01  8.437500e+02  6.024988e+00  4.515023e+00     1.509964e+00       5.980691e+00     4.030800e-02   1.607441e+00
8.320312e-01  8.437500e+02  6.001824e+00  4.460820e+00     1.541004e+00       5.957791e+00     4.007070e-02   1.623259e+00
