#Xaxis_B3     YlengthB3     discharge_B3   dischargeEFF_B3  dischargeINEFF_B3  rech_Moulins_B3  rech_meltR_B3  P_B3
1.562500e-01  2.000000e+04  -0.000000e+00  -0.000000e+00    -0.000000e+00      9.015860e+01     8.146698e-01   6.755064e-02
4.687500e-01  2.000000e+04  9.105334e+01   5.367933e+00     8.568540e+01       9.015810e+01     8.146606e-01   1.821779e-01
7.812500e-01  2.000000e+04  9.105282e+01   7.172390e-01     9.033558e+01       9.015761e+01     8.146401e-01   2.935514e-01
1.093750e+00  2.000000e+04  9.105230e+01   2.375083e-01     9.081479e+01       9.015711e+01     8.146155e-01   4.019376e-01
1.406250e+00  2.000000e+04  9.105177e+01   1.245567e-01     9.092721e+01       9.015662e+01     8.145870e-01   5.075549e-01
1.718750e+00  2.000000e+04  9.105123e+01   8.729636e-02     9.096394e+01       9.015612e+01     8.145525e-01   6.105879e-01
2.031250e+00  2.000000e+04  9.105069e+01   7.517868e-02     9.097551e+01       9.015563e+01     8.145085e-01   7.111900e-01
2.343750e+00  2.000000e+04  9.105013e+01   7.557750e-02     9.097455e+01       9.015513e+01     8.144494e-01   8.094824e-01
2.656250e+00  2.000000e+04  9.104954e+01   8.540229e-02     9.096414e+01       9.015463e+01     8.143667e-01   9.055498e-01
2.968750e+00  2.000000e+04  9.104892e+01   1.051929e-01     9.094372e+01       9.015414e+01     8.142468e-01   9.994321e-01
3.281250e+00  2.000000e+04  9.104822e+01   1.377064e-01     9.091052e+01       9.015364e+01     8.140685e-01   1.091112e+00
3.593750e+00  2.000000e+04  9.104743e+01   1.877525e-01     9.085968e+01       9.015315e+01     8.138002e-01   1.180496e+00
3.906250e+00  2.000000e+04  9.104649e+01   2.625266e-01     9.078397e+01       9.015265e+01     8.133946e-01   1.267395e+00
4.218750e+00  2.000000e+04  9.104530e+01   3.719684e-01     9.067333e+01       9.015213e+01     8.127835e-01   1.351502e+00
4.531250e+00  2.000000e+04  9.102785e+01   5.211805e-01     9.050667e+01       9.013569e+01     8.118730e-01   1.432395e+00
4.843750e+00  2.000000e+04  8.997814e+01   6.478866e-01     8.933025e+01       8.908740e+01     8.105714e-01   1.509736e+00
5.156250e+00  2.000000e+04  8.203966e+01   6.183932e-01     8.142127e+01       8.115067e+01     8.089796e-01   1.584071e+00
5.468750e+00  2.000000e+04  7.410105e+01   5.958274e-01     7.350523e+01       7.321394e+01     8.072727e-01   1.655343e+00
5.781250e+00  2.000000e+04  7.305060e+01   6.994717e-01     7.235113e+01       7.216565e+01     8.053031e-01   1.722072e+00
