#Xaxis_A5  YlengthA5  discharge_A5  dischargeEFF_A5  dischargeINEFF_A5  rech_Moulins_A5  rech_meltR_A5  P_A5
26.0938    20000      67.2827       1.69417          65.5885            66.6562          0.570043       2.01683
26.4062    20000      66.9943       1.6708           65.3235            66.375           0.563546       2.01708
26.7188    20000      66.706        1.64777          65.0582            66.0938          0.557112       2.01735
27.0312    20000      66.4177       1.62507          64.7926            65.8125          0.55074        2.01764
27.3438    20000      66.1295       1.60269          64.5268            65.5312          0.54443        2.01795
27.6562    20000      65.8414       1.58064          64.2608            65.25            0.538181       2.01828
27.9688    20000      65.5534       1.55889          63.9945            64.9688          0.531991       2.01863
28.2812    20000      65.2654       1.53745          63.7279            64.6875          0.525861       2.019
28.5938    20000      64.9774       1.51631          63.4611            64.4062          0.519789       2.01939
28.9062    20000      64.6896       1.49546          63.1941            64.125           0.513774       2.0198
29.2188    20000      64.4018       1.4749           62.9269            63.8438          0.507817       2.02022
29.5312    20000      64.1141       1.45462          62.6594            63.5625          0.501916       2.02067
29.8438    20000      63.8264       1.43461          62.3918            63.2812          0.496071       2.02114
30.1562    20000      63.5388       1.41488          62.1239            63               0.490281       2.02162
30.4688    20000      63.2512       1.39542          61.8558            62.7188          0.484545       2.02213
30.7812    20000      62.9637       1.37621          61.5875            62.4375          0.478863       2.02265
31.0938    20000      62.6763       1.35726          61.319             62.1562          0.473234       2.02319
31.4062    20000      62.3889       1.33856          61.0503            61.875           0.467658       2.02375
31.7188    20000      62.1016       1.32011          60.7815            61.5938          0.462133       2.02432
32.0312    20000      61.8143       1.3019           60.5124            61.3125          0.45666        2.02492
32.3438    20000      61.5271       1.28393          60.2432            61.0312          0.451238       2.02553
32.6562    20000      61.24         1.26619          59.9738            60.75            0.445866       2.02616
32.9688    20000      60.9529       1.24868          59.7042            60.4688          0.440544       2.0268
33.2812    20000      60.6658       1.2314           59.4344            60.1875          0.435271       2.02747
33.5938    20000      60.3788       1.21434          59.1645            59.9062          0.430046       2.02815
33.9062    20000      60.0919       1.19749          58.8944            59.625           0.42487        2.02885
34.2188    20000      59.805        1.18087          58.6241            59.3438          0.419741       2.02956
34.5312    20000      59.5182       1.16445          58.3537            59.0625          0.41466        2.03029
34.8438    20000      59.2314       1.14824          58.0831            58.7812          0.409626       2.03104
35.1562    20000      58.9447       1.13223          57.8124            58.5             0.404637       2.03181
35.4688    20000      58.658        1.11643          57.5415            58.2188          0.399695       2.03259
35.7812    20000      58.3713       1.10082          57.2705            57.9375          0.394797       2.03339
36.0938    20000      58.0848       1.08541          56.9994            57.6562          0.389945       2.03421
36.4062    20000      57.7982       1.07019          56.728             57.375           0.385137       2.03504
36.7188    20000      57.5117       1.05515          56.4566            57.0938          0.380373       2.03589
