#Xaxis_E4     YlengthE4     discharge_E4  dischargeEFF_E4  dischargeINEFF_E4  rech_Moulins_E4  rech_meltR_E4  P_E4
2.226562e-01  6.093750e+02  6.535263e+00  9.000562e-01     5.635206e+00       6.480672e+00     4.692204e-02   6.761625e-01
2.460938e-01  6.093750e+02  6.518653e+00  2.246745e-01     6.293979e+00       6.464134e+00     4.692204e-02   7.239421e-01
2.695312e-01  6.562500e+02  6.464839e+00  8.389244e-01     5.625915e+00       6.447595e+00     4.691372e-02   7.797530e-01
2.929688e-01  6.562500e+02  6.483995e+00  7.731084e-01     5.710886e+00       6.429784e+00     4.672788e-02   8.230514e-01
3.164062e-01  6.562500e+02  6.466120e+00  2.032721e-01     6.262848e+00       6.411973e+00     4.672788e-02   8.626224e-01
3.398438e-01  7.031250e+02  6.405097e+00  5.495707e-01     5.855526e+00       6.394162e+00     4.671758e-02   9.120711e-01
3.632812e-01  7.031250e+02  6.428981e+00  4.838122e-01     5.945169e+00       6.375078e+00     4.658898e-02   9.468458e-01
3.867188e-01  7.031250e+02  6.409845e+00  -0.000000e+00    6.409845e+00       6.355995e+00     4.658898e-02   9.761626e-01
4.101562e-01  7.031250e+02  6.390724e+00  3.552935e-01     6.035431e+00       6.336912e+00     4.658898e-02   1.003736e+00
4.335938e-01  7.031250e+02  6.371572e+00  7.420250e-01     5.629547e+00       6.317829e+00     4.655366e-02   1.029696e+00
4.570312e-01  7.500000e+02  6.236924e+00  5.291886e-01     5.707735e+00       6.298745e+00     4.649540e-02   1.067200e+00
4.804688e-01  7.500000e+02  6.331917e+00  2.364689e-01     6.095448e+00       6.278390e+00     4.643527e-02   1.085686e+00
5.039062e-01  7.500000e+02  6.311514e+00  -0.000000e+00    6.311514e+00       6.258034e+00     4.643527e-02   1.097511e+00
5.273438e-01  7.500000e+02  6.291112e+00  -0.000000e+00    6.291112e+00       6.237679e+00     4.643527e-02   1.107386e+00
5.507812e-01  7.500000e+02  6.270670e+00  3.885051e-01     5.882165e+00       6.217323e+00     4.643527e-02   1.120441e+00
5.742188e-01  7.500000e+02  6.249903e+00  1.284730e+00     4.965173e+00       6.196968e+00     4.640547e-02   1.139992e+00
5.976562e-01  7.968750e+02  6.227883e+00  1.865072e+00     4.362811e+00       6.176613e+00     4.617638e-02   1.178039e+00
6.210938e-01  7.968750e+02  6.205964e+00  9.813786e-01     5.224585e+00       6.154985e+00     4.506050e-02   1.194656e+00
6.445312e-01  7.968750e+02  6.184309e+00  2.454398e-01     5.938869e+00       6.133357e+00     4.506050e-02   1.200545e+00
6.679688e-01  7.968750e+02  6.162757e+00  3.387707e-01     5.823987e+00       6.111729e+00     4.501763e-02   1.200944e+00
6.914062e-01  7.968750e+02  6.141294e+00  1.548061e-01     5.986488e+00       6.090102e+00     4.500449e-02   1.196077e+00
7.148438e-01  7.968750e+02  6.119845e+00  1.292931e-01     5.990552e+00       6.068474e+00     4.499960e-02   1.188974e+00
7.382812e-01  7.968750e+02  6.098312e+00  1.446059e-01     5.953706e+00       6.046846e+00     4.499087e-02   1.183188e+00
7.617188e-01  7.968750e+02  6.076762e+00  2.493823e-01     5.827379e+00       6.025219e+00     4.498343e-02   1.180490e+00
7.851562e-01  8.437500e+02  6.012608e+00  5.125958e-01     5.500013e+00       6.003591e+00     4.495432e-02   1.203532e+00
8.085938e-01  8.437500e+02  6.032197e+00  1.067230e+00     4.964967e+00       5.980691e+00     4.486396e-02   1.212139e+00
8.320312e-01  8.437500e+02  6.009256e+00  1.750155e+00     4.259102e+00       5.957791e+00     4.477892e-02   1.223084e+00
8.554688e-01  8.437500e+02  5.985979e+00  2.047415e+00     3.938564e+00       5.934891e+00     4.446803e-02   1.235757e+00
8.789062e-01  8.437500e+02  5.962345e+00  1.849859e+00     4.112486e+00       5.911991e+00     4.394092e-02   1.247797e+00
9.023438e-01  8.437500e+02  5.938545e+00  1.554761e+00     4.383783e+00       5.889092e+00     4.326745e-02   1.256793e+00
9.257812e-01  8.437500e+02  5.914792e+00  1.147071e+00     4.767721e+00       5.866192e+00     4.260844e-02   1.260935e+00
