#Xaxis_E5     YlengthE5     discharge_E5   dischargeEFF_E5  dischargeINEFF_E5  rech_Moulins_E5  rech_meltR_E5  P_E5
1.171875e-02  2.812500e+02  -0.000000e+00  -0.000000e+00    -0.000000e+00      6.597716e+00     2.016251e-02   5.520047e-02
3.515625e-02  3.750000e+02  6.333076e+00   6.065621e+00     2.674545e-01       6.590083e+00     2.016042e-02   1.406397e-01
5.859375e-02  4.218750e+02  6.471734e+00   5.844112e+00     6.276221e-01       6.579905e+00     2.015647e-02   2.183759e-01
8.203125e-02  4.687500e+02  6.470488e+00   3.847990e+00     2.622498e+00       6.568455e+00     2.015279e-02   2.919622e-01
1.054688e-01  5.156250e+02  6.481845e+00   1.569025e+00     4.912820e+00       6.555733e+00     2.014927e-02   3.623777e-01
1.289062e-01  5.156250e+02  6.563882e+00   8.141566e-01     5.749725e+00       6.541739e+00     2.014583e-02   4.220440e-01
1.523438e-01  5.625000e+02  6.453267e+00   4.977294e-01     5.955538e+00       6.527744e+00     2.014255e-02   4.867004e-01
1.757812e-01  5.625000e+02  6.534611e+00   3.434013e-01     6.191210e+00       6.512478e+00     2.013913e-02   5.398565e-01
1.992188e-01  6.093750e+02  6.439107e+00   2.563991e-01     6.182708e+00       6.497211e+00     2.013573e-02   6.006259e-01
2.226562e-01  6.093750e+02  6.502797e+00   2.052072e-01     6.297589e+00       6.480672e+00     2.013210e-02   6.486686e-01
2.460938e-01  6.093750e+02  6.486253e+00   1.732444e-01     6.313009e+00       6.464134e+00     2.012840e-02   6.944649e-01
2.695312e-01  6.562500e+02  6.402811e+00   1.516983e-01     6.251113e+00       6.447595e+00     2.012454e-02   7.508308e-01
2.929688e-01  6.562500e+02  6.451894e+00   1.371057e-01     6.314789e+00       6.429784e+00     2.012033e-02   7.928957e-01
3.164062e-01  6.562500e+02  6.434078e+00   1.275606e-01     6.306518e+00       6.411973e+00     2.011593e-02   8.332617e-01
3.398438e-01  7.031250e+02  6.366532e+00   1.210679e-01     6.245464e+00       6.394162e+00     2.011127e-02   8.870953e-01
3.632812e-01  7.031250e+02  6.397173e+00   1.170201e-01     6.280153e+00       6.375078e+00     2.010614e-02   9.246238e-01
3.867188e-01  7.031250e+02  6.378084e+00   1.153619e-01     6.262722e+00       6.355995e+00     2.010070e-02   9.608170e-01
4.101562e-01  7.031250e+02  6.358994e+00   1.159237e-01     6.243071e+00       6.336912e+00     2.009484e-02   9.957699e-01
4.335938e-01  7.031250e+02  6.339904e+00   1.178720e-01     6.222032e+00       6.317829e+00     2.008847e-02   1.029568e+00
4.570312e-01  7.500000e+02  6.284507e+00   1.201122e-01     6.164395e+00       6.298745e+00     2.008156e-02   1.080245e+00
4.804688e-01  7.500000e+02  6.300449e+00   1.229721e-01     6.177477e+00       6.278390e+00     2.007392e-02   1.112114e+00
