#Xaxis_A4  YlengthA4  discharge_A4  dischargeEFF_A4  dischargeINEFF_A4  rech_Moulins_A4  rech_meltR_A4  P_A4
0.15625    20000      -0            -0               -0                 50               0.6151         0.0675688
0.46875    20000      50.5197       0.756029         49.7637            49.8438          0.615097       0.182252
0.78125    20000      50.3634       0.103441         50.26              49.6875          0.615092       0.293696
1.09375    20000      50.2072       0.0359394        50.1712            49.5312          0.615085       0.402161
1.40625    20000      50.0509       0.0192898        50.0316            49.375           0.615077       0.50787
1.71875    20000      49.8946       0.0133637        49.8813            49.2188          0.615067       0.611017
2.03125    20000      49.7384       0.0110489        49.7273            49.0625          0.615055       0.711769
2.34375    20000      49.5821       0.0104612        49.5717            48.9062          0.615039       0.810272
2.65625    20000      49.4258       0.0110391        49.4148            48.75            0.615018       0.906644
2.96875    20000      49.2696       0.012702         49.2569            48.5938          0.61499        1.00098
3.28125    20000      49.1133       0.0156239        49.0976            48.4375          0.61495        1.09335
3.59375    20000      48.957        0.0201735        48.9368            48.2812          0.614892       1.18378
3.90625    20000      48.8006       0.0269089        48.7737            48.125           0.614809       1.27227
4.21875    20000      48.6442       0.0365869        48.6076            47.9688          0.614688       1.35875
4.53125    20000      48.4878       0.0501692        48.4376            47.8125          0.614511       1.44309
4.84375    20000      48.3313       0.0688064        48.2624            47.6562          0.614255       1.52509
5.15625    20000      48.1746       0.0937814        48.0808            47.5             0.613888       1.60446
5.46875    20000      48.0178       0.126393         47.8914            47.3438          0.613373       1.68081
5.78125    20000      47.8608       0.167771         47.693             47.1875          0.612662       1.75366
6.09375    20000      47.7034       0.218623         47.4848            47.0312          0.611702       1.82248
6.40625    20000      47.5458       0.278964         47.2668            46.875           0.610433       1.88668
6.71875    20000      47.3878       0.347887         47.0399            46.7188          0.6088         1.94571
7.03125    20000      47.2293       0.423476         46.8058            46.5625          0.606752       1.99913
7.34375    20000      47.0703       0.502932         46.5673            46.4062          0.60425        2.04663
7.65625    20000      46.9107       0.582907         46.3278            46.25            0.601276       2.08809
7.96875    20000      46.7507       0.659983         46.0907            46.0938          0.597829       2.12365
8.28125    20000      46.5902       0.731151         45.859             45.9375          0.593929       2.15359
8.59375    20000      46.4292       0.794167         45.635             45.7812          0.589613       2.1784
8.90625    20000      46.2678       0.84771          45.4201            45.625           0.584931       2.19863
9.21875    20000      46.106        0.891347         45.2147            45.4688          0.579938       2.21489
9.53125    20000      45.944        0.925368         45.0187            45.3125          0.57469        2.22778
9.84375    20000      45.7818       0.950553         44.8312            45.1562          0.569243       2.23787
10.1562    20000      45.6194       0.967963         44.6514            45               0.563644       2.24567
10.4688    20000      45.4569       0.978757         44.4781            44.8438          0.557938       2.2516
10.7812    20000      45.2943       0.984073         44.3102            44.6875          0.552161       2.25605
11.0938    20000      45.1316       0.984953         44.1467            44.5312          0.546342       2.25931
11.4062    20000      44.969        0.982306         43.9867            44.375           0.540507       2.26163
