#Xaxis_B5     YlengthB5     discharge_B5   dischargeEFF_B5  dischargeINEFF_B5  rech_Moulins_B5  rech_meltR_B5  P_B5
1.562500e-01  2.000000e+04  -0.000000e+00  -0.000000e+00    -0.000000e+00      9.015860e+01     8.230979e-01   6.755072e-02
4.687500e-01  2.000000e+04  9.106260e+01   5.254083e+00     8.580851e+01       9.015810e+01     8.230889e-01   1.821783e-01
7.812500e-01  2.000000e+04  9.106208e+01   7.015879e-01     9.036049e+01       9.015761e+01     8.230685e-01   2.935521e-01
1.093750e+00  2.000000e+04  9.106156e+01   2.320687e-01     9.082949e+01       9.015711e+01     8.230442e-01   4.019387e-01
1.406250e+00  2.000000e+04  9.106103e+01   1.214782e-01     9.093955e+01       9.015662e+01     8.230161e-01   5.075566e-01
1.718750e+00  2.000000e+04  9.106050e+01   8.490234e-02     9.097560e+01       9.015612e+01     8.229820e-01   6.105904e-01
2.031250e+00  2.000000e+04  9.105995e+01   7.284466e-02     9.098711e+01       9.015563e+01     8.229386e-01   7.111936e-01
2.343750e+00  2.000000e+04  9.105939e+01   7.288638e-02     9.098651e+01       9.015513e+01     8.228805e-01   8.094878e-01
2.656250e+00  2.000000e+04  9.105881e+01   8.188354e-02     9.097693e+01       9.015463e+01     8.227994e-01   9.055582e-01
2.968750e+00  2.000000e+04  9.105819e+01   1.001385e-01     9.095805e+01       9.015414e+01     8.226821e-01   9.994454e-01
3.281250e+00  2.000000e+04  9.105750e+01   1.299175e-01     9.092758e+01       9.015364e+01     8.225085e-01   1.091133e+00
3.593750e+00  2.000000e+04  9.105672e+01   1.750843e-01     9.088163e+01       9.015315e+01     8.222484e-01   1.180532e+00
3.906250e+00  2.000000e+04  9.105579e+01   2.409944e-01     9.081480e+01       9.015265e+01     8.218577e-01   1.267458e+00
4.218750e+00  2.000000e+04  9.105464e+01   3.340991e-01     9.072054e+01       9.015214e+01     8.212742e-01   1.351610e+00
4.531250e+00  2.000000e+04  9.104443e+01   4.582279e-01     9.058620e+01       9.014287e+01     8.204148e-01   1.432569e+00
4.843750e+00  2.000000e+04  9.046630e+01   5.924047e-01     8.987390e+01       8.956609e+01     8.191886e-01   1.509891e+00
5.156250e+00  2.000000e+04  8.609911e+01   6.848185e-01     8.541429e+01       8.520067e+01     8.175838e-01   1.583535e+00
5.468750e+00  2.000000e+04  8.173048e+01   7.845402e-01     8.094594e+01       8.083419e+01     8.156212e-01   1.653169e+00
5.781250e+00  2.000000e+04  8.104258e+01   9.582710e-01     8.008431e+01       8.014900e+01     8.131562e-01   1.717666e+00
6.093750e+00  2.000000e+04  7.978106e+01   1.140631e+00     7.864043e+01       7.889091e+01     8.100353e-01   1.776588e+00
6.406250e+00  2.000000e+04  7.791495e+01   1.319403e+00     7.659555e+01       7.702896e+01     8.062471e-01   1.829761e+00
6.718750e+00  2.000000e+04  7.752511e+01   1.544507e+00     7.598061e+01       7.664411e+01     8.017103e-01   1.876447e+00
7.031250e+00  2.000000e+04  7.728344e+01   1.778065e+00     7.550537e+01       7.640836e+01     7.963183e-01   1.916510e+00
7.343750e+00  2.000000e+04  7.677217e+01   1.989155e+00     7.478301e+01       7.590393e+01     7.900980e-01   1.950321e+00
7.656250e+00  2.000000e+04  7.659049e+01   2.184270e+00     7.440622e+01       7.572994e+01     7.831008e-01   1.978190e+00
7.968750e+00  2.000000e+04  7.597111e+01   2.303009e+00     7.366810e+01       7.511898e+01     7.754348e-01   2.001128e+00
8.281250e+00  2.000000e+04  7.394645e+01   2.311916e+00     7.163454e+01       7.310314e+01     7.674111e-01   2.020860e+00
8.593750e+00  2.000000e+04  7.303117e+01   2.355553e+00     7.067561e+01       7.219691e+01     7.591759e-01   2.037140e+00
8.906250e+00  2.000000e+04  7.296986e+01   2.447895e+00     7.052197e+01       7.214504e+01     7.505903e-01   2.049764e+00
9.218750e+00  2.000000e+04  7.295920e+01   2.537233e+00     7.042196e+01       7.214423e+01     7.416226e-01   2.059238e+00
9.531250e+00  2.000000e+04  7.294771e+01   2.606277e+00     7.034143e+01       7.214293e+01     7.323453e-01   2.066145e+00
9.843750e+00  2.000000e+04  7.288438e+01   2.645395e+00     7.023899e+01       7.209005e+01     7.228443e-01   2.071066e+00
1.015625e+01  2.000000e+04  7.247652e+01   2.639902e+00     6.983662e+01       7.169274e+01     7.132419e-01   2.074727e+00
1.046875e+01  2.000000e+04  7.206813e+01   2.623699e+00     6.944444e+01       7.129491e+01     7.036372e-01   2.077424e+00
1.078125e+01  2.000000e+04  7.195048e+01   2.612357e+00     6.933813e+01       7.118781e+01     6.940282e-01   2.079168e+00
1.109375e+01  2.000000e+04  7.131428e+01   2.556871e+00     6.875741e+01       7.056211e+01     6.844752e-01   2.080665e+00
1.140625e+01  2.000000e+04  7.037257e+01   2.483233e+00     6.788934e+01       6.963070e+01     6.751063e-01   2.082275e+00
1.171875e+01  2.000000e+04  7.013765e+01   2.443886e+00     6.769377e+01       6.940592e+01     6.658779e-01   2.083415e+00
1.203125e+01  2.000000e+04  6.944343e+01   2.368003e+00     6.707542e+01       6.872171e+01     6.567653e-01   2.084639e+00
1.234375e+01  2.000000e+04  6.792164e+01   2.251179e+00     6.567046e+01       6.720962e+01     6.479373e-01   2.086700e+00
1.265625e+01  2.000000e+04  6.743578e+01   2.190561e+00     6.524522e+01       6.673319e+01     6.393623e-01   2.088568e+00
1.296875e+01  2.000000e+04  6.680441e+01   2.111500e+00     6.469291e+01       6.611110e+01     6.309182e-01   2.090431e+00
1.328125e+01  2.000000e+04  6.477958e+01   1.962695e+00     6.281689e+01       6.409520e+01     6.227938e-01   2.093522e+00
1.359375e+01  2.000000e+04  6.385819e+01   1.879893e+00     6.197829e+01       6.318234e+01     6.150166e-01   2.096703e+00
1.390625e+01  2.000000e+04  6.351927e+01   1.834308e+00     6.168496e+01       6.285184e+01     6.073601e-01   2.099416e+00
1.421875e+01  2.000000e+04  6.211421e+01   1.742605e+00     6.037161e+01       6.145501e+01     5.998757e-01   2.102663e+00
1.453125e+01  2.000000e+04  6.116755e+01   1.677113e+00     5.949044e+01       6.051630e+01     5.926382e-01   2.105977e+00
1.484375e+01  2.000000e+04  6.097312e+01   1.650265e+00     5.932286e+01       6.032972e+01     5.854978e-01   2.108654e+00
1.515625e+01  2.000000e+04  6.017045e+01   1.598520e+00     5.857193e+01       5.953481e+01     5.784362e-01   2.111304e+00
1.546875e+01  2.000000e+04  5.936874e+01   1.551224e+00     5.781752e+01       5.874069e+01     5.715269e-01   2.113937e+00
1.578125e+01  2.000000e+04  5.925595e+01   1.542048e+00     5.771391e+01       5.863542e+01     5.646893e-01   2.115909e+00
1.609375e+01  2.000000e+04  5.924633e+01   1.546769e+00     5.769956e+01       5.863333e+01     5.578315e-01   2.117173e+00
1.640625e+01  2.000000e+04  5.923811e+01   1.550823e+00     5.768728e+01       5.863267e+01     5.509481e-01   2.117846e+00
1.671875e+01  2.000000e+04  5.920435e+01   1.545214e+00     5.765914e+01       5.860649e+01     5.440552e-01   2.118106e+00
1.703125e+01  2.000000e+04  5.874347e+01   1.507302e+00     5.723617e+01       5.815312e+01     5.372208e-01   2.118516e+00
1.734375e+01  2.000000e+04  5.772800e+01   1.447009e+00     5.628099e+01       5.714496e+01     5.305624e-01   2.119599e+00
1.765625e+01  2.000000e+04  5.741792e+01   1.419980e+00     5.599794e+01       5.684202e+01     5.240614e-01   2.120589e+00
1.796875e+01  2.000000e+04  5.739918e+01   1.415902e+00     5.598328e+01       5.683039e+01     5.175956e-01   2.121143e+00
1.828125e+01  2.000000e+04  5.739153e+01   1.415897e+00     5.597563e+01       5.682985e+01     5.111279e-01   2.121291e+00
1.859375e+01  2.000000e+04  5.738172e+01   1.413690e+00     5.596803e+01       5.682715e+01     5.046617e-01   2.121113e+00
1.890625e+01  2.000000e+04  5.728126e+01   1.400254e+00     5.588101e+01       5.673377e+01     4.982160e-01   2.120794e+00
1.921875e+01  2.000000e+04  5.680843e+01   1.367987e+00     5.544044e+01       5.626794e+01     4.918495e-01   2.120724e+00
1.953125e+01  2.000000e+04  5.648725e+01   1.342911e+00     5.514434e+01       5.595364e+01     4.855883e-01   2.120744e+00
1.984375e+01  2.000000e+04  5.634807e+01   1.319473e+00     5.502860e+01       5.582126e+01     4.793933e-01   2.120718e+00
2.015625e+01  2.000000e+04  5.554701e+01   1.266044e+00     5.428097e+01       5.502688e+01     4.733184e-01   2.121273e+00
2.046875e+01  2.000000e+04  5.474616e+01   1.218848e+00     5.352731e+01       5.423250e+01     4.674290e-01   2.122319e+00
2.078125e+01  2.000000e+04  5.460742e+01   1.200172e+00     5.340725e+01       5.410012e+01     4.616439e-01   2.123183e+00
2.109375e+01  2.000000e+04  5.428682e+01   1.178280e+00     5.310854e+01       5.378582e+01     4.559087e-01   2.124022e+00
2.140625e+01  2.000000e+04  5.381461e+01   1.153491e+00     5.266112e+01       5.331983e+01     4.502553e-01   2.124968e+00
2.171875e+01  2.000000e+04  5.368941e+01   1.139198e+00     5.255021e+01       5.320077e+01     4.446623e-01   2.125719e+00
2.203125e+01  2.000000e+04  5.322776e+01   1.107434e+00     5.212032e+01       5.274520e+01     4.391304e-01   2.126673e+00
2.234375e+01  2.000000e+04  5.221364e+01   1.058586e+00     5.115505e+01       5.173699e+01     4.337510e-01   2.128328e+00
2.265625e+01  2.000000e+04  5.189380e+01   1.034240e+00     5.085956e+01       5.142291e+01     4.285082e-01   2.129946e+00
2.296875e+01  2.000000e+04  5.157403e+01   1.009273e+00     5.056476e+01       5.110884e+01     4.233239e-01   2.131528e+00
2.328125e+01  2.000000e+04  5.056027e+01   9.637795e-01     4.959649e+01       5.010064e+01     4.182636e-01   2.133722e+00
