#Xaxis_A3  YlengthA3  discharge_A3  dischargeEFF_A3  dischargeINEFF_A3  rech_Moulins_A3  rech_meltR_A3  P_A3
0.15625    20000      -0            -0               -0                 11.58            0.135865       0.0675796
0.46875    20000      11.6931       0.0427222        11.6504            11.5438          0.135865       0.182294
0.78125    20000      11.6569       0.00700023       11.6499            11.5076          0.135863       0.293774
1.09375    20000      11.6207       0.00298554       11.6177            11.4714          0.135861       0.40228
1.40625    20000      11.5845       0.00175356       11.5828            11.4353          0.135858       0.508035
1.71875    20000      11.5484       0.00122233       11.5471            11.3991          0.135854       0.61124
2.03125    20000      11.5122       0.000953386      11.5112            11.3629          0.135849       0.712069
2.34375    20000      11.476        0.000806653      11.4752            11.3267          0.135844       0.810676
2.65625    20000      11.4398       0.000726282      11.439             11.2905          0.135837       0.907199
2.96875    20000      11.4036       0.000687131      11.4029            11.2543          0.13583        1.00176
3.28125    20000      11.3674       0.000677547      11.3667            11.2181          0.135821       1.09447
3.59375    20000      11.3312       0.000692896      11.3305            11.1819          0.135811       1.18541
3.90625    20000      11.295        0.000732918      11.2942            11.1458          0.1358         1.27468
4.21875    20000      11.2588       0.000800662      11.258             11.1096          0.135787       1.36233
4.53125    20000      11.2226       0.000902122      11.2217            11.0734          0.135772       1.44842
4.84375    20000      11.1864       0.00104624       11.1853            11.0372          0.135754       1.53297
5.15625    20000      11.1502       0.00124505       11.1489            11.001           0.135731       1.61601
5.46875    20000      11.1139       0.00151388       11.1124            10.9648          0.135703       1.69751
5.78125    20000      11.0777       0.0018715        11.0758            10.9286          0.135668       1.77744
6.09375    20000      11.0415       0.00234006       11.0391            10.8924          0.135622       1.85574
6.40625    20000      11.0052       0.00294483       11.0023            10.8562          0.135564       1.93229
6.71875    20000      10.969        0.00371338       10.9652            10.8201          0.13549        2.00696
7.03125    20000      10.9327       0.00467432       10.928             10.7839          0.135394       2.07957
7.34375    20000      10.8963       0.00585529       10.8905            10.7477          0.135272       2.14988
7.65625    20000      10.86         0.0072802        10.8527            10.7115          0.135117       2.21764
7.96875    20000      10.8236       0.00896593       10.8146            10.6753          0.134924       2.28256
8.28125    20000      10.7871       0.0109187        10.7762            10.6391          0.134684       2.34433
8.59375    20000      10.7506       0.0131305        10.7375            10.6029          0.13439        2.40263
8.90625    20000      10.714        0.0155768        10.6985            10.5667          0.134037       2.45717
9.21875    20000      10.6774       0.0182156        10.6592            10.5306          0.133616       2.50769
9.53125    20000      10.6407       0.020989         10.6197            10.4944          0.133124       2.55401
9.84375    20000      10.6039       0.0238265        10.58              10.4582          0.132557       2.59602
10.1562    20000      10.567        0.0266518        10.5403            10.422           0.131914       2.63368
10.4688    20000      10.53         0.0293886        10.5006            10.3858          0.131196       2.66707
10.7812    20000      10.4929       0.0319682        10.461             10.3496          0.130404       2.69636
11.0938    20000      10.4558       0.034334         10.4215            10.3134          0.129543       2.72178
11.4062    20000      10.4186       0.0364456        10.3821            10.2772          0.12862        2.74362
11.7188    20000      10.3813       0.038279         10.343             10.2411          0.12764        2.7622
12.0312    20000      10.344        0.0398261        10.3042            10.2049          0.126612       2.77787
12.3438    20000      10.3066       0.0410917        10.2656            10.1687          0.125541       2.79098
12.6562    20000      10.2692       0.042091         10.2272            10.1325          0.124436       2.80185
12.9688    20000      10.2318       0.0428457        10.189             10.0963          0.123303       2.8108
13.2812    20000      10.1944       0.0433813        10.151             10.0601          0.122148       2.81811
13.5938    20000      10.1569       0.0437246        10.1132            10.0239          0.120977       2.82402
13.9062    20000      10.1194       0.0439024        10.0755            9.98775          0.119795       2.82877
14.2188    20000      10.0819       0.0439398        10.038             9.95156          0.118605       2.83253
