#Xaxis_B1     YlengthB1     discharge_B1   dischargeEFF_B1  dischargeINEFF_B1  rech_Moulins_B1  rech_meltR_B1  P_B1
1.515625e+01  2.000000e+04  9.147899e+01   4.020125e+00     8.745887e+01       9.013481e+01     1.223204e+00   1.963568e+00
1.546875e+01  2.000000e+04  9.146593e+01   3.990351e+00     8.747558e+01       9.013431e+01     1.211770e+00   1.961471e+00
1.578125e+01  2.000000e+04  9.145297e+01   3.961080e+00     8.749189e+01       9.013382e+01     1.200426e+00   1.959399e+00
1.609375e+01  2.000000e+04  9.144011e+01   3.932328e+00     8.750778e+01       9.013332e+01     1.189172e+00   1.957354e+00
1.640625e+01  2.000000e+04  9.142734e+01   3.904105e+00     8.752323e+01       9.013283e+01     1.178005e+00   1.955337e+00
1.671875e+01  2.000000e+04  9.141466e+01   3.876413e+00     8.753825e+01       9.013233e+01     1.166923e+00   1.953347e+00
1.703125e+01  2.000000e+04  9.140208e+01   3.849250e+00     8.755283e+01       9.013184e+01     1.155925e+00   1.951385e+00
1.734375e+01  2.000000e+04  9.138959e+01   3.822610e+00     8.756698e+01       9.013134e+01     1.145010e+00   1.949452e+00
1.765625e+01  2.000000e+04  9.137719e+01   3.796486e+00     8.758071e+01       9.013084e+01     1.134175e+00   1.947546e+00
1.796875e+01  2.000000e+04  9.136488e+01   3.770868e+00     8.759401e+01       9.013035e+01     1.123419e+00   1.945669e+00
1.828125e+01  2.000000e+04  9.135265e+01   3.745747e+00     8.760690e+01       9.012985e+01     1.112741e+00   1.943818e+00
1.859375e+01  2.000000e+04  9.134050e+01   3.721110e+00     8.761939e+01       9.012936e+01     1.102138e+00   1.941994e+00
1.890625e+01  2.000000e+04  9.132843e+01   3.696946e+00     8.763149e+01       9.012886e+01     1.091610e+00   1.940197e+00
1.921875e+01  2.000000e+04  9.131645e+01   3.673242e+00     8.764321e+01       9.012837e+01     1.081155e+00   1.938426e+00
1.953125e+01  2.000000e+04  9.130454e+01   3.649988e+00     8.765456e+01       9.012787e+01     1.070772e+00   1.936679e+00
1.984375e+01  2.000000e+04  9.129271e+01   3.627171e+00     8.766554e+01       9.012738e+01     1.060458e+00   1.934958e+00
2.015625e+01  2.000000e+04  9.128096e+01   3.604779e+00     8.767618e+01       9.012688e+01     1.050213e+00   1.933261e+00
2.046875e+01  2.000000e+04  9.126928e+01   3.582800e+00     8.768648e+01       9.012638e+01     1.040036e+00   1.931587e+00
2.078125e+01  2.000000e+04  9.125767e+01   3.561223e+00     8.769645e+01       9.012589e+01     1.029925e+00   1.929936e+00
2.109375e+01  2.000000e+04  9.124614e+01   3.540037e+00     8.770610e+01       9.012539e+01     1.019879e+00   1.928308e+00
2.140625e+01  2.000000e+04  9.123467e+01   3.519232e+00     8.771544e+01       9.012490e+01     1.009897e+00   1.926702e+00
2.171875e+01  2.000000e+04  9.122328e+01   3.498797e+00     8.772448e+01       9.012440e+01     9.999767e-01   1.925118e+00
2.203125e+01  2.000000e+04  9.121195e+01   3.478721e+00     8.773323e+01       9.012391e+01     9.901184e-01   1.923554e+00
2.234375e+01  2.000000e+04  9.120069e+01   3.458996e+00     8.774169e+01       9.012341e+01     9.803205e-01   1.922011e+00
2.265625e+01  2.000000e+04  9.118949e+01   3.439612e+00     8.774988e+01       9.012291e+01     9.705819e-01   1.920488e+00
2.296875e+01  2.000000e+04  9.117836e+01   3.420559e+00     8.775780e+01       9.012242e+01     9.609015e-01   1.918984e+00
2.328125e+01  2.000000e+04  9.116728e+01   3.401830e+00     8.776545e+01       9.012192e+01     9.512784e-01   1.917500e+00
2.359375e+01  2.000000e+04  9.115628e+01   3.383416e+00     8.777286e+01       9.012143e+01     9.417116e-01   1.916035e+00
