#Xaxis_E1     YlengthE1     discharge_E1   dischargeEFF_E1  dischargeINEFF_E1  rech_Moulins_E1  rech_meltR_E1  P_E1
1.171875e-02  2.812500e+02  -0.000000e+00  -0.000000e+00    -0.000000e+00      6.597716e+00     3.053295e-02   6.073040e-02
3.515625e-02  3.750000e+02  6.338734e+00   6.077702e+00     2.610318e-01       6.590083e+00     3.053084e-02   1.576310e-01
5.859375e-02  4.218750e+02  6.475926e+00   4.846594e+00     1.629332e+00       6.579905e+00     3.052680e-02   2.474933e-01
8.203125e-02  4.687500e+02  6.471873e+00   2.547291e+00     3.924582e+00       6.568455e+00     3.052302e-02   3.322214e-01
1.054688e-01  5.156250e+02  6.481951e+00   1.020948e+00     5.461003e+00       6.555733e+00     3.051938e-02   4.126311e-01
1.289062e-01  5.156250e+02  6.575276e+00   5.387682e-01     6.036508e+00       6.541739e+00     3.051579e-02   4.866289e-01
1.523438e-01  5.625000e+02  6.447543e+00   3.374871e-01     6.110056e+00       6.527744e+00     3.051230e-02   5.597410e-01
1.757812e-01  5.625000e+02  6.546005e+00   2.415801e-01     6.304425e+00       6.512478e+00     3.050858e-02   6.269037e-01
1.992188e-01  6.093750e+02  6.429161e+00   1.872347e-01     6.241927e+00       6.497211e+00     3.050479e-02   6.944051e-01
2.226562e-01  6.093750e+02  6.514190e+00   1.572659e-01     6.356924e+00       6.480672e+00     3.050062e-02   7.561046e-01
2.460938e-01  6.093750e+02  6.497646e+00   1.410417e-01     6.356605e+00       6.464134e+00     3.049620e-02   8.154566e-01
2.695312e-01  6.562500e+02  6.386371e+00   1.311923e-01     6.255179e+00       6.447595e+00     3.049137e-02   8.763692e-01
2.929688e-01  6.562500e+02  6.463285e+00   1.258920e-01     6.337393e+00       6.429784e+00     3.048585e-02   9.316131e-01
3.164062e-01  6.562500e+02  6.445467e+00   1.259913e-01     6.319476e+00       6.411973e+00     3.047979e-02   9.850419e-01
3.398438e-01  7.031250e+02  6.346869e+00   1.281444e-01     6.218724e+00       6.394162e+00     3.047294e-02   1.041007e+00
3.632812e-01  7.031250e+02  6.408556e+00   1.317754e-01     6.276781e+00       6.375078e+00     3.046499e-02   1.091187e+00
3.867188e-01  7.031250e+02  6.389463e+00   1.402875e-01     6.249176e+00       6.355995e+00     3.045607e-02   1.139894e+00
4.101562e-01  7.031250e+02  6.370369e+00   1.541725e-01     6.216196e+00       6.336912e+00     3.044571e-02   1.187208e+00
4.335938e-01  7.031250e+02  6.351272e+00   1.710071e-01     6.180265e+00       6.317829e+00     3.043356e-02   1.233199e+00
4.570312e-01  7.500000e+02  6.261222e+00   1.855152e-01     6.075707e+00       6.298745e+00     3.041942e-02   1.282640e+00
4.804688e-01  7.500000e+02  6.311800e+00   1.988578e-01     6.112942e+00       6.278390e+00     3.040296e-02   1.326206e+00
5.039062e-01  7.500000e+02  6.291424e+00   2.185547e-01     6.072869e+00       6.258034e+00     3.038441e-02   1.368612e+00
5.273438e-01  7.500000e+02  6.271045e+00   2.447067e-01     6.026338e+00       6.237679e+00     3.036288e-02   1.409891e+00
5.507812e-01  7.500000e+02  6.250662e+00   2.748921e-01     5.975770e+00       6.217323e+00     3.033782e-02   1.450070e+00
5.742188e-01  7.500000e+02  6.230274e+00   3.070120e-01     5.923262e+00       6.196968e+00     3.030874e-02   1.489172e+00
5.976562e-01  7.968750e+02  6.149610e+00   3.332416e-01     5.816369e+00       6.176613e+00     3.027553e-02   1.532380e+00
6.210938e-01  7.968750e+02  6.188213e+00   3.549769e-01     5.833236e+00       6.154985e+00     3.023793e-02   1.569515e+00
6.445312e-01  7.968750e+02  6.166540e+00   3.851358e-01     5.781404e+00       6.133357e+00     3.019652e-02   1.605636e+00
6.679688e-01  7.968750e+02  6.144861e+00   4.226715e-01     5.722190e+00       6.111729e+00     3.014980e-02   1.640747e+00
6.914062e-01  7.968750e+02  6.123176e+00   4.632644e-01     5.659911e+00       6.090102e+00     3.009716e-02   1.674855e+00
7.148438e-01  7.968750e+02  6.101483e+00   5.058689e-01     5.595614e+00       6.068474e+00     3.003815e-02   1.707966e+00
7.382812e-01  7.968750e+02  6.079783e+00   5.499755e-01     5.529808e+00       6.046846e+00     2.997233e-02   1.740083e+00
7.617188e-01  7.968750e+02  6.058075e+00   5.930016e-01     5.465074e+00       6.025219e+00     2.989931e-02   1.771213e+00
7.851562e-01  8.437500e+02  5.986107e+00   6.237521e-01     5.362355e+00       6.003591e+00     2.981950e-02   1.806863e+00
8.085938e-01  8.437500e+02  6.013365e+00   6.447750e-01     5.368590e+00       5.980691e+00     2.973297e-02   1.836328e+00
8.320312e-01  8.437500e+02  5.990364e+00   6.764697e-01     5.313894e+00       5.957791e+00     2.964125e-02   1.864831e+00
8.554688e-01  8.437500e+02  5.967355e+00   7.157814e-01     5.251574e+00       5.934891e+00     2.954204e-02   1.892379e+00
8.789062e-01  8.437500e+02  5.944338e+00   7.561099e-01     5.188228e+00       5.911991e+00     2.943492e-02   1.918984e+00
