#Xaxis_E2     YlengthE2     discharge_E2   dischargeEFF_E2  dischargeINEFF_E2  rech_Moulins_E2  rech_meltR_E2  P_E2
1.136719e+00  8.906250e+02  5.683666e+00   1.019596e+00     4.664069e+00       5.653731e+00     2.724002e-02   2.140414e+00
1.160156e+00  8.906250e+02  5.659292e+00   1.042261e+00     4.617030e+00       5.629559e+00     2.705645e-02   2.157224e+00
1.183594e+00  8.906250e+02  5.634911e+00   1.063527e+00     4.571384e+00       5.605387e+00     2.686641e-02   2.173317e+00
1.207031e+00  8.906250e+02  5.610523e+00   1.083321e+00     4.527202e+00       5.581215e+00     2.667013e-02   2.188712e+00
1.230469e+00  8.906250e+02  5.586128e+00   1.101609e+00     4.484519e+00       5.557043e+00     2.646783e-02   2.203429e+00
1.253906e+00  8.906250e+02  5.561728e+00   1.118384e+00     4.443343e+00       5.532871e+00     2.625977e-02   2.217488e+00
1.277344e+00  8.906250e+02  5.537321e+00   1.133667e+00     4.403653e+00       5.508699e+00     2.604617e-02   2.230906e+00
1.300781e+00  8.906250e+02  5.512908e+00   1.147591e+00     4.365318e+00       5.484527e+00     2.582726e-02   2.243703e+00
1.324219e+00  8.906250e+02  5.488490e+00   1.158471e+00     4.330019e+00       5.460354e+00     2.560322e-02   2.255894e+00
1.347656e+00  9.375000e+02  5.434359e+00   1.156184e+00     4.278176e+00       5.436182e+00     2.537537e-02   2.275073e+00
1.371094e+00  9.375000e+02  5.438369e+00   1.143107e+00     4.295262e+00       5.410738e+00     2.514423e-02   2.286746e+00
1.394531e+00  9.375000e+02  5.412670e+00   1.141179e+00     4.271492e+00       5.385294e+00     2.491286e-02   2.297797e+00
1.417969e+00  9.375000e+02  5.386968e+00   1.145874e+00     4.241094e+00       5.359849e+00     2.467786e-02   2.308292e+00
1.441406e+00  9.375000e+02  5.361261e+00   1.150764e+00     4.210498e+00       5.334405e+00     2.443924e-02   2.318267e+00
