#Xaxis_B2     YlengthB2     discharge_B2   dischargeEFF_B2  dischargeINEFF_B2  rech_Moulins_B2  rech_meltR_B2  P_B2
1.562500e-01  2.000000e+04  -0.000000e+00  -0.000000e+00    -0.000000e+00      9.015860e+01     6.256549e-01   6.755063e-02
4.687500e-01  2.000000e+04  9.084563e+01   5.465314e+00     8.538031e+01       9.015810e+01     6.256457e-01   1.821779e-01
7.812500e-01  2.000000e+04  9.084511e+01   7.315568e-01     9.011355e+01       9.015761e+01     6.256250e-01   2.935514e-01
1.093750e+00  2.000000e+04  9.084459e+01   2.431038e-01     9.060148e+01       9.015711e+01     6.256002e-01   4.019374e-01
1.406250e+00  2.000000e+04  9.084406e+01   1.281625e-01     9.071590e+01       9.015662e+01     6.255714e-01   5.075544e-01
1.718750e+00  2.000000e+04  9.084352e+01   9.043967e-02     9.075308e+01       9.015612e+01     6.255363e-01   6.105868e-01
2.031250e+00  2.000000e+04  9.084298e+01   7.852418e-02     9.076446e+01       9.015563e+01     6.254915e-01   7.111879e-01
2.343750e+00  2.000000e+04  9.084242e+01   7.967503e-02     9.076274e+01       9.015513e+01     6.254311e-01   8.094786e-01
2.656250e+00  2.000000e+04  9.084183e+01   9.095144e-02     9.075088e+01       9.015463e+01     6.253461e-01   9.055429e-01
2.968750e+00  2.000000e+04  9.084120e+01   1.132551e-01     9.072794e+01       9.015414e+01     6.252222e-01   9.994198e-01
3.281250e+00  2.000000e+04  9.084050e+01   1.499787e-01     9.069052e+01       9.015364e+01     6.250374e-01   1.091090e+00
3.593750e+00  2.000000e+04  9.083970e+01   2.069729e-01     9.063272e+01       9.015315e+01     6.247577e-01   1.180459e+00
3.906250e+00  2.000000e+04  9.083873e+01   2.931258e-01     9.054561e+01       9.015265e+01     6.243327e-01   1.267333e+00
4.218750e+00  2.000000e+04  9.083752e+01   4.214448e-01     9.041607e+01       9.015214e+01     6.236893e-01   1.351404e+00
4.531250e+00  2.000000e+04  9.082799e+01   6.038356e-01     9.022415e+01       9.014367e+01     6.227251e-01   1.432236e+00
4.843750e+00  2.000000e+04  9.030206e+01   7.868826e-01     8.951518e+01       8.961928e+01     6.213254e-01   1.509390e+00
5.156250e+00  2.000000e+04  8.633145e+01   8.281715e-01     8.550328e+01       8.565067e+01     6.195077e-01   1.582867e+00
5.468750e+00  2.000000e+04  8.236046e+01   8.979042e-01     8.146256e+01       8.168206e+01     6.173508e-01   1.652261e+00
5.781250e+00  2.000000e+04  8.183316e+01   1.101635e+00     8.073153e+01       8.115767e+01     6.146998e-01   1.716434e+00
6.093750e+00  2.000000e+04  8.182094e+01   1.393171e+00     8.042777e+01       8.114919e+01     6.112883e-01   1.774569e+00
6.406250e+00  2.000000e+04  8.181487e+01   1.744088e+00     8.007078e+01       8.114790e+01     6.069484e-01   1.826177e+00
6.718750e+00  2.000000e+04  8.168005e+01   2.082167e+00     7.959788e+01       8.101897e+01     6.015812e-01   1.871207e+00
7.031250e+00  2.000000e+04  7.940838e+01   2.148393e+00     7.725999e+01       7.875412e+01     5.953764e-01   1.910906e+00
7.343750e+00  2.000000e+04  7.436217e+01   2.040191e+00     7.232198e+01       7.371510e+01     5.888269e-01   1.946926e+00
7.656250e+00  2.000000e+04  7.278635e+01   2.139067e+00     7.064728e+01       7.214670e+01     5.820776e-01   1.978319e+00
7.968750e+00  2.000000e+04  7.121009e+01   2.119203e+00     6.909088e+01       7.057831e+01     5.749202e-01   2.005822e+00
8.281250e+00  2.000000e+04  6.616314e+01   1.876998e+00     6.428614e+01       6.553923e+01     5.677529e-01   2.031857e+00
8.593750e+00  2.000000e+04  6.386863e+01   1.869860e+00     6.199877e+01       6.325233e+01     5.608336e-01   2.055279e+00
8.906250e+00  2.000000e+04  6.280323e+01   1.807695e+00     6.099553e+01       6.219462e+01     5.538287e-01   2.075956e+00
9.218750e+00  2.000000e+04  5.814110e+01   1.449832e+00     5.669127e+01       5.753994e+01     5.470553e-01   2.096382e+00
9.531250e+00  2.000000e+04  5.501175e+01   1.295746e+00     5.371601e+01       5.441740e+01     5.408659e-01   2.115618e+00
9.843750e+00  2.000000e+04  5.473362e+01   1.278697e+00     5.345492e+01       5.414587e+01     5.348509e-01   2.132013e+00
1.015625e+01  2.000000e+04  5.472375e+01   1.302659e+00     5.342109e+01       5.414274e+01     5.287133e-01   2.145339e+00
1.046875e+01  2.000000e+04  5.471628e+01   1.337601e+00     5.337868e+01       5.414224e+01     5.223763e-01   2.155828e+00
1.078125e+01  2.000000e+04  5.470861e+01   1.371176e+00     5.333743e+01       5.414175e+01     5.158434e-01   2.163853e+00
1.109375e+01  2.000000e+04  5.470075e+01   1.399251e+00     5.330150e+01       5.414125e+01     5.091434e-01   2.169811e+00
1.140625e+01  2.000000e+04  5.469275e+01   1.420903e+00     5.327185e+01       5.414076e+01     5.023118e-01   2.174070e+00
1.171875e+01  2.000000e+04  5.468464e+01   1.436447e+00     5.324819e+01       5.414026e+01     4.953828e-01   2.176956e+00
1.203125e+01  2.000000e+04  5.467645e+01   1.446651e+00     5.322980e+01       5.413977e+01     4.883867e-01   2.178743e+00
