#Xaxis_A6  YlengthA6  discharge_A6  dischargeEFF_A6  dischargeINEFF_A6  rech_Moulins_A6  rech_meltR_A6  P_A6
0.15625    20000      -0            -0               -0                 1158             16.7268        0.0664705
0.46875    20000      1172.76       1172.76          -0                 1154.38          16.7228        0.17787
0.78125    20000      1169.14       1169.14          -0                 1150.76          16.7143        0.285534
1.09375    20000      1165.5        1165.5           -0                 1147.14          16.7025        0.388052
1.40625    20000      1161.86       1098.66          63.1974            1143.52          16.6835        0.483831
1.71875    20000      1158.21       926.464          231.745            1139.91          16.6552        0.573164
2.03125    20000      1154.55       748.902          405.648            1136.29          16.6193        0.657509
2.34375    20000      1150.89       643.178          507.707            1132.67          16.5767        0.736525
2.65625    20000      1147.21       591.823          555.388            1129.05          16.5261        0.809666
2.96875    20000      1143.53       570.231          573.295            1125.43          16.4661        0.876449
3.28125    20000      1139.83       564.616          575.213            1121.81          16.3955        0.936547
3.59375    20000      1136.12       567.246          568.875            1118.19          16.3135        0.989841
3.90625    20000      1132.4        573.647          558.753            1114.57          16.22          1.03642
4.21875    20000      1128.67       581.239          547.427            1110.96          16.1154        1.07657
4.53125    20000      1124.92       588.591          536.329            1107.34          16.0002        1.11072
4.84375    20000      1121.16       594.969          526.195            1103.72          15.8756        1.13938
5.15625    20000      1117.4        600.057          517.343            1100.1           15.7426        1.16313
5.46875    20000      1113.63       603.774          509.853            1096.48          15.6024        1.18256
5.78125    20000      1109.85       606.17           503.677            1092.86          15.4564        1.19821
6.09375    20000      1106.06       607.36           498.703            1089.24          15.3056        1.21062
6.40625    20000      1102.27       607.482          494.793            1085.62          15.1512        1.22028
6.71875    20000      1098.48       606.68           491.803            1082.01          14.994         1.2276
7.03125    20000      1094.69       605.09           489.6              1078.39          14.8349        1.23297
7.34375    20000      1090.89       602.836          488.059            1074.77          14.6746        1.2367
7.65625    20000      1087.1        600.027          487.072            1071.15          14.5137        1.23909
7.96875    20000      1083.3        596.759          486.544            1067.53          14.3527        1.24036
8.28125    20000      1079.51       593.113          486.395            1063.91          14.192         1.24072
8.59375    20000      1075.71       589.159          486.555            1060.29          14.032         1.24034
8.90625    20000      1071.92       584.954          486.966            1056.67          13.8729        1.23936
9.21875    20000      1068.13       580.549          487.579            1053.06          13.7149        1.23789
9.53125    20000      1064.34       575.983          488.353            1049.44          13.5583        1.23604
9.84375    20000      1060.55       571.292          489.255            1045.82          13.4032        1.23389
10.1562    20000      1056.76       566.504          490.256            1042.2           13.2495        1.2315
10.4688    20000      1052.97       561.642          491.332            1038.58          13.0976        1.22893
10.7812    20000      1049.19       556.726          492.464            1034.96          12.9473        1.22623
11.0938    20000      1045.41       551.773          493.635            1031.34          12.7988        1.22343
11.4062    20000      1041.63       546.796          494.833            1027.72          12.652         1.22057
11.7188    20000      1037.85       541.805          496.045            1024.11          12.5069        1.21766
12.0312    20000      1034.07       536.81           497.264            1020.49          12.3636        1.21474
12.3438    20000      1030.3        531.819          498.481            1016.87          12.2221        1.21182
12.6562    20000      1026.53       526.837          499.69             1013.25          12.0824        1.2089
12.9688    20000      1022.76       521.869          500.888            1009.63          11.9443        1.20601
13.2812    20000      1018.99       516.92           502.068            1006.01          11.808         1.20315
13.5938    20000      1015.22       511.993          503.229            1002.39          11.6734        1.20033
13.9062    20000      1011.46       507.09           504.367            998.775          11.5404        1.19755
14.2188    20000      1007.69       502.213          505.481            995.156          11.4091        1.19482
14.5312    20000      1003.93       497.365          506.568            991.537          11.2794        1.19214
14.8438    20000      1000.17       492.545          507.627            987.919          11.1512        1.18952
15.1562    20000      996.415       487.757          508.658            984.3            11.0247        1.18695
15.4688    20000      992.659       482.999          509.66             980.681          10.8996        1.18444
15.7812    20000      988.904       478.273          510.632            977.062          10.7761        1.18198
16.0938    20000      985.151       473.579          511.573            973.444          10.654         1.17959
16.4062    20000      981.4         468.917          512.483            969.825          10.5334        1.17725
16.7188    20000      977.65        464.288          513.363            966.206          10.4143        1.17497
17.0312    20000      973.902       459.691          514.211            962.587          10.2965        1.17275
