#errorL2
#case     head       gapHeight  Pw       Re         RHS_moulin  DT          CD
32.0      1.5301     0.42142    14995.0  2312400.0  5.62e-05    2.7794e-06  0.31053
64.0      0.43361    0.13575    4249.4   757960.0   1.5886e-06  9.7234e-07  0.1622
128.0     0.088119   0.040394   863.57   229630.0   2.7075e-08  4.1026e-07  0.043967
256.0     0.017887   0.013105   175.3    75252.0    4.308e-10   2.3147e-07  0.014595
512.0     0.0034014  0.0025852  33.334   14634.0    6.1433e-12  1.621e-07   0.0040109
