#errorL2
#case     head       gapHeight  Pw       Re          RHS_moulin  DT          CD
32.0      2.4301     2.1607     23815.0  14666000.0  0.0012701   2.1789e-05  1.6836
64.0      1.4683     0.42142    14390.0  2312400.0   5.3099e-05  2.7792e-06  0.30709
128.0     0.43475    0.13465    4260.6   755170.0    1.1559e-06  9.6628e-07  0.11915
256.0     0.10627    0.040305   1041.4   229460.0    1.8298e-08  3.925e-07   0.040051
512.0     0.023525   0.013065   230.54   75053.0     2.8682e-10  2.2899e-07  0.013696
1024.0    0.0046485  0.0024808  45.555   14057.0     4.3975e-12  1.602e-07   0.0029319
