#Xaxis_A1  YlengthA1  discharge_A1  dischargeEFF_A1  dischargeINEFF_A1  rech_Moulins_A1  rech_meltR_A1  P_A1
0.15625    20000      -0            -0               -0                 0.1586           0.0119296      0.0675817
0.46875    20000      0.171214      0.000561698      0.170652           0.158104         0.0119291      0.182301
0.78125    20000      0.170716      9.47044e-05      0.170622           0.157609         0.0119277      0.293787
1.09375    20000      0.170218      4.13555e-05      0.170177           0.157113         0.0119255      0.402298
1.40625    20000      0.169719      2.44873e-05      0.169695           0.156617         0.0119225      0.50806
1.71875    20000      0.16922       1.70804e-05      0.169203           0.156122         0.0119187      0.611273
2.03125    20000      0.168719      1.32594e-05      0.168706           0.155626         0.0119142      0.712113
2.34375    20000      0.168218      1.11049e-05      0.168206           0.155131         0.0119088      0.810735
2.65625    20000      0.167715      9.83139e-06      0.167705           0.154635         0.0119028      0.90728
2.96875    20000      0.167212      9.06694e-06      0.167203           0.154139         0.011896       1.00187
3.28125    20000      0.166708      8.61642e-06      0.1667             0.153644         0.0118885      1.09463
3.59375    20000      0.166204      8.36919e-06      0.166195           0.153148         0.0118803      1.18565
3.90625    20000      0.165698      8.25868e-06      0.16569            0.152652         0.0118714      1.27503
4.21875    20000      0.165192      8.24283e-06      0.165184           0.152157         0.0118619      1.36286
4.53125    20000      0.164685      8.29406e-06      0.164677           0.151661         0.0118517      1.44921
4.84375    20000      0.164178      8.39365e-06      0.164169           0.151166         0.0118408      1.53415
5.15625    20000      0.16367       8.52858e-06      0.163661           0.15067          0.0118293      1.61775
5.46875    20000      0.163161      8.68957e-06      0.163152           0.150174         0.0118172      1.70007
5.78125    20000      0.162651      8.86988e-06      0.162642           0.149679         0.0118045      1.78117
6.09375    20000      0.162141      9.06456e-06      0.162132           0.149183         0.0117911      1.8611
6.40625    20000      0.16163       9.2699e-06       0.16162            0.148687         0.0117772      1.9399
6.71875    20000      0.161118      9.48311e-06      0.161109           0.148192         0.0117627      2.01762
7.03125    20000      0.160606      9.70207e-06      0.160596           0.147696         0.0117476      2.09429
7.34375    20000      0.160093      9.92519e-06      0.160083           0.147201         0.0117319      2.16996
7.65625    20000      0.15958       1.01512e-05      0.159569           0.146705         0.0117156      2.24466
7.96875    20000      0.159065      1.03793e-05      0.159055           0.146209         0.0116988      2.31841
8.28125    20000      0.158551      1.06088e-05      0.15854            0.145714         0.0116814      2.39124
8.59375    20000      0.158035      1.08391e-05      0.158024           0.145218         0.0116634      2.46317
8.90625    20000      0.157519      1.107e-05        0.157508           0.144722         0.0116449      2.53423
9.21875    20000      0.157003      1.13012e-05      0.156991           0.144227         0.0116258      2.60443
9.53125    20000      0.156486      1.15327e-05      0.156474           0.143731         0.0116062      2.67378
9.84375    20000      0.155968      1.17645e-05      0.155956           0.143236         0.0115861      2.74229
10.1562    20000      0.155449      1.19966e-05      0.155437           0.14274          0.0115654      2.80997
10.4688    20000      0.154931      1.22292e-05      0.154918           0.142244         0.0115442      2.87682
10.7812    20000      0.154411      1.24626e-05      0.154398           0.141749         0.0115224      2.94283
11.0938    20000      0.153891      1.26969e-05      0.153878           0.141253         0.0115         3.008
11.4062    20000      0.15337       1.29324e-05      0.153357           0.140757         0.0114772      3.07232
11.7188    20000      0.152849      1.31694e-05      0.152835           0.140262         0.0114537      3.13577
12.0312    20000      0.152327      1.34083e-05      0.152313           0.139766         0.0114297      3.19833
12.3438    20000      0.151804      1.36493e-05      0.15179            0.139271         0.0114052      3.25998
12.6562    20000      0.151281      1.38928e-05      0.151267           0.138775         0.0113801      3.32068
12.9688    20000      0.150757      1.41391e-05      0.150743           0.138279         0.0113544      3.38041
13.2812    20000      0.150232      1.43884e-05      0.150218           0.137784         0.0113281      3.43913
13.5938    20000      0.149707      1.4641e-05       0.149693           0.137288         0.0113012      3.49678
13.9062    20000      0.149182      1.48969e-05      0.149167           0.136792         0.0112738      3.55333
