#Xaxis_E3     YlengthE3     discharge_E3   dischargeEFF_E3  dischargeINEFF_E3  rech_Moulins_E3  rech_meltR_E3  P_E3
1.171875e-02  2.812500e+02  -0.000000e+00  -0.000000e+00    -0.000000e+00      6.597716e+00     2.846966e-02   5.962443e-02
3.515625e-02  3.750000e+02  6.337788e+00   6.075201e+00     2.625866e-01       6.590083e+00     2.846755e-02   1.542329e-01
5.859375e-02  4.218750e+02  6.475369e+00   5.017018e+00     1.458351e+00       6.579905e+00     2.846354e-02   2.416701e-01
8.203125e-02  4.687500e+02  6.471991e+00   2.760694e+00     3.711297e+00       6.568455e+00     2.845978e-02   3.241700e-01
1.054688e-01  5.156250e+02  6.482376e+00   1.102979e+00     5.379397e+00       6.555733e+00     2.845617e-02   4.025811e-01
1.289062e-01  5.156250e+02  6.573009e+00   5.791215e-01     5.993888e+00       6.541739e+00     2.845261e-02   4.737129e-01
1.523438e-01  5.625000e+02  6.449372e+00   3.603798e-01     6.088992e+00       6.527744e+00     2.844917e-02   5.451344e-01
1.757812e-01  5.625000e+02  6.543738e+00   2.555431e-01     6.288195e+00       6.512478e+00     2.844553e-02   6.094963e-01
1.992188e-01  6.093750e+02  6.432010e+00   1.962136e-01     6.235796e+00       6.497211e+00     2.844184e-02   6.756525e-01
2.226562e-01  6.093750e+02  6.511923e+00   1.628759e-01     6.349048e+00       6.480672e+00     2.843780e-02   7.346219e-01
2.460938e-01  6.093750e+02  6.495380e+00   1.439084e-01     6.351471e+00       6.464134e+00     2.843356e-02   7.912648e-01
2.695312e-01  6.562500e+02  6.390806e+00   1.319542e-01     6.258852e+00       6.447595e+00     2.842898e-02   8.512718e-01
2.929688e-01  6.562500e+02  6.461019e+00   1.249287e-01     6.336090e+00       6.429784e+00     2.842380e-02   9.038839e-01
3.164062e-01  6.562500e+02  6.443202e+00   1.229294e-01     6.320272e+00       6.411973e+00     2.841818e-02   9.547060e-01
3.398438e-01  7.031250e+02  6.352153e+00   1.231742e-01     6.228979e+00       6.394162e+00     2.841191e-02   1.010254e+00
3.632812e-01  7.031250e+02  6.406292e+00   1.251453e-01     6.281147e+00       6.375078e+00     2.840472e-02   1.057915e+00
3.867188e-01  7.031250e+02  6.387200e+00   1.310890e-01     6.256111e+00       6.355995e+00     2.839675e-02   1.104134e+00
4.101562e-01  7.031250e+02  6.368107e+00   1.413128e-01     6.226794e+00       6.336912e+00     2.838763e-02   1.148995e+00
4.335938e-01  7.031250e+02  6.349012e+00   1.539633e-01     6.195049e+00       6.317829e+00     2.837708e-02   1.192573e+00
4.570312e-01  7.500000e+02  6.267542e+00   1.653282e-01     6.102214e+00       6.298745e+00     2.836498e-02   1.242299e+00
4.804688e-01  7.500000e+02  6.309545e+00   1.762684e-01     6.133277e+00       6.278390e+00     2.835102e-02   1.283565e+00
5.039062e-01  7.500000e+02  6.289172e+00   1.918227e-01     6.097350e+00       6.258034e+00     2.833539e-02   1.323722e+00
5.273438e-01  7.500000e+02  6.268797e+00   2.121625e-01     6.056635e+00       6.237679e+00     2.831743e-02   1.362810e+00
5.507812e-01  7.500000e+02  6.248419e+00   2.356097e-01     6.012809e+00       6.217323e+00     2.829674e-02   1.400861e+00
5.742188e-01  7.500000e+02  6.228037e+00   2.607398e-01     5.967297e+00       6.196968e+00     2.827293e-02   1.437905e+00
5.976562e-01  7.968750e+02  6.156318e+00   2.825327e-01     5.873786e+00       6.176613e+00     2.824590e-02   1.482350e+00
6.210938e-01  7.968750e+02  6.185991e+00   3.017771e-01     5.884214e+00       6.154985e+00     2.821538e-02   1.517579e+00
6.445312e-01  7.968750e+02  6.164326e+00   3.267843e-01     5.837542e+00       6.133357e+00     2.818178e-02   1.551875e+00
6.679688e-01  7.968750e+02  6.142657e+00   3.571297e-01     5.785527e+00       6.111729e+00     2.814402e-02   1.585249e+00
6.914062e-01  7.968750e+02  6.120983e+00   3.900579e-01     5.730925e+00       6.090102e+00     2.810162e-02   1.617712e+00
7.148438e-01  7.968750e+02  6.099303e+00   4.248065e-01     5.674496e+00       6.068474e+00     2.805419e-02   1.649272e+00
7.382812e-01  7.968750e+02  6.077617e+00   4.609305e-01     5.616687e+00       6.046846e+00     2.800138e-02   1.679938e+00
7.617188e-01  7.968750e+02  6.055925e+00   4.966861e-01     5.559239e+00       6.025219e+00     2.794285e-02   1.709717e+00
7.851562e-01  8.437500e+02  5.992854e+00   5.251032e-01     5.467750e+00       6.003591e+00     2.787881e-02   1.748009e+00
8.085938e-01  8.437500e+02  6.011251e+00   5.472860e-01     5.463965e+00       5.980691e+00     2.780922e-02   1.776293e+00
8.320312e-01  8.437500e+02  5.988269e+00   5.761746e-01     5.412095e+00       5.957791e+00     2.773515e-02   1.803718e+00
8.554688e-01  8.437500e+02  5.965281e+00   6.103046e-01     5.354977e+00       5.934891e+00     2.765494e-02   1.830292e+00
8.789062e-01  8.437500e+02  5.942286e+00   6.455222e-01     5.296764e+00       5.911991e+00     2.756822e-02   1.856024e+00
9.023438e-01  8.437500e+02  5.919284e+00   6.808637e-01     5.238420e+00       5.889092e+00     2.747481e-02   1.880922e+00
9.257812e-01  8.437500e+02  5.896274e+00   7.158668e-01     5.180407e+00       5.866192e+00     2.737458e-02   1.904996e+00
9.492188e-01  8.437500e+02  5.873256e+00   7.502235e-01     5.123032e+00       5.843292e+00     2.726744e-02   1.928254e+00
9.726562e-01  8.437500e+02  5.850231e+00   7.837214e-01     5.066509e+00       5.820392e+00     2.715333e-02   1.950704e+00
9.960938e-01  8.437500e+02  5.827198e+00   8.147020e-01     5.012496e+00       5.797492e+00     2.703220e-02   1.972357e+00
1.019531e+00  8.906250e+02  5.771883e+00   8.354990e-01     4.936384e+00       5.774592e+00     2.690477e-02   2.003574e+00
1.042969e+00  8.906250e+02  5.779839e+00   8.475648e-01     4.932274e+00       5.750420e+00     2.677139e-02   2.024093e+00
1.066406e+00  8.906250e+02  5.755516e+00   8.668782e-01     4.888638e+00       5.726248e+00     2.663394e-02   2.043835e+00
1.089844e+00  8.906250e+02  5.731186e+00   8.910614e-01     4.840124e+00       5.702076e+00     2.649024e-02   2.062826e+00
1.113281e+00  8.906250e+02  5.706849e+00   9.153037e-01     4.791545e+00       5.677904e+00     2.634015e-02   2.081089e+00
1.136719e+00  8.906250e+02  5.682505e+00   9.387733e-01     4.743731e+00       5.653731e+00     2.618375e-02   2.098642e+00
1.160156e+00  8.906250e+02  5.658154e+00   9.611706e-01     4.696983e+00       5.629559e+00     2.602116e-02   2.115501e+00
1.183594e+00  8.906250e+02  5.633797e+00   9.823419e-01     4.651455e+00       5.605387e+00     2.585255e-02   2.131686e+00
1.207031e+00  8.906250e+02  5.609433e+00   1.002197e+00     4.607236e+00       5.581215e+00     2.567808e-02   2.147212e+00
1.230469e+00  8.906250e+02  5.585063e+00   1.020679e+00     4.564384e+00       5.557043e+00     2.549796e-02   2.162096e+00
1.253906e+00  8.906250e+02  5.560687e+00   1.037753e+00     4.522934e+00       5.532871e+00     2.531236e-02   2.176355e+00
1.277344e+00  8.906250e+02  5.536305e+00   1.053406e+00     4.482899e+00       5.508699e+00     2.512148e-02   2.190004e+00
1.300781e+00  8.906250e+02  5.511917e+00   1.067680e+00     4.444237e+00       5.484527e+00     2.492551e-02   2.203060e+00
1.324219e+00  8.906250e+02  5.487524e+00   1.079317e+00     4.408207e+00       5.460354e+00     2.472461e-02   2.215534e+00
1.347656e+00  9.375000e+02  5.438628e+00   1.081275e+00     4.357353e+00       5.436182e+00     2.451982e-02   2.238620e+00
1.371094e+00  9.375000e+02  5.437454e+00   1.074714e+00     4.362741e+00       5.410738e+00     2.431161e-02   2.250579e+00
1.394531e+00  9.375000e+02  5.411780e+00   1.075643e+00     4.336137e+00       5.385294e+00     2.410248e-02   2.261948e+00
1.417969e+00  9.375000e+02  5.386102e+00   1.081334e+00     4.304768e+00       5.359849e+00     2.388976e-02   2.272784e+00
1.441406e+00  9.375000e+02  5.360420e+00   1.087169e+00     4.273250e+00       5.334405e+00     2.367344e-02   2.283117e+00
1.464844e+00  9.375000e+02  5.334734e+00   1.092498e+00     4.242236e+00       5.308961e+00     2.345368e-02   2.292972e+00
1.488281e+00  9.375000e+02  5.309045e+00   1.097120e+00     4.211925e+00       5.283516e+00     2.323071e-02   2.302367e+00
1.511719e+00  9.375000e+02  5.283352e+00   1.100955e+00     4.182397e+00       5.258072e+00     2.300473e-02   2.311324e+00
1.535156e+00  9.375000e+02  5.257656e+00   1.103968e+00     4.153688e+00       5.232628e+00     2.277596e-02   2.319860e+00
1.558594e+00  9.375000e+02  5.231958e+00   1.106152e+00     4.125806e+00       5.207183e+00     2.254462e-02   2.327991e+00
