#Xaxis_E5     YlengthE5     discharge_E5  dischargeEFF_E5  dischargeINEFF_E5  rech_Moulins_E5  rech_meltR_E5  P_E5
2.226562e-01  6.093750e+02  6.542651e+00  7.774397e-01     5.765211e+00       6.480672e+00     5.255907e-02   6.476075e-01
2.460938e-01  6.093750e+02  6.526014e+00  -0.000000e+00    6.526014e+00       6.464134e+00     5.255907e-02   6.919631e-01
2.695312e-01  6.562500e+02  6.472240e+00  5.233786e-01     5.948862e+00       6.447595e+00     5.255907e-02   7.467706e-01
2.929688e-01  6.562500e+02  6.491330e+00  5.898900e-01     5.901440e+00       6.429784e+00     5.238343e-02   7.869176e-01
3.164062e-01  6.562500e+02  6.473430e+00  -0.000000e+00    6.473430e+00       6.411973e+00     5.238343e-02   8.237363e-01
3.398438e-01  7.031250e+02  6.413385e+00  3.116621e-01     6.101723e+00       6.394162e+00     5.238343e-02   8.734169e-01
3.632812e-01  7.031250e+02  6.436280e+00  3.635027e-01     6.072777e+00       6.375078e+00     5.227321e-02   9.061586e-01
3.867188e-01  7.031250e+02  6.417119e+00  -0.000000e+00    6.417119e+00       6.355995e+00     5.227321e-02   9.347751e-01
4.101562e-01  7.031250e+02  6.397972e+00  1.608654e-01     6.237106e+00       6.336912e+00     5.227321e-02   9.610204e-01
4.335938e-01  7.031250e+02  6.378817e+00  3.389362e-01     6.039881e+00       6.317829e+00     5.225551e-02   9.855351e-01
4.570312e-01  7.500000e+02  6.290155e+00  6.154336e-01     5.674722e+00       6.298745e+00     5.222310e-02   1.027278e+00
4.804688e-01  7.500000e+02  6.339139e+00  8.561971e-01     5.482942e+00       6.278390e+00     5.212442e-02   1.049895e+00
5.039062e-01  7.500000e+02  6.318520e+00  5.638371e-01     5.754683e+00       6.258034e+00     5.196362e-02   1.068402e+00
5.273438e-01  7.500000e+02  6.298010e+00  2.051727e-01     6.092838e+00       6.237679e+00     5.189066e-02   1.082991e+00
5.507812e-01  7.500000e+02  6.277611e+00  4.157834e-02     6.236032e+00       6.217323e+00     5.188981e-02   1.094066e+00
5.742188e-01  7.500000e+02  6.257241e+00  8.906421e-01     5.366599e+00       6.196968e+00     5.188793e-02   1.108656e+00
5.976562e-01  7.968750e+02  6.222675e+00  1.902079e+00     4.320596e+00       6.176613e+00     5.162157e-02   1.148385e+00
6.210938e-01  7.968750e+02  6.214463e+00  1.452855e+00     4.761608e+00       6.154985e+00     5.106420e-02   1.166304e+00
6.445312e-01  7.968750e+02  6.192509e+00  7.975549e-01     5.394954e+00       6.133357e+00     5.077273e-02   1.176133e+00
6.679688e-01  7.968750e+02  6.170528e+00  9.117289e-01     5.258799e+00       6.111729e+00     5.050133e-02   1.186152e+00
6.914062e-01  7.968750e+02  6.148654e+00  8.333185e-01     5.315336e+00       6.090102e+00     5.035235e-02   1.193488e+00
7.148438e-01  7.968750e+02  6.126667e+00  6.820429e-01     5.444624e+00       6.068474e+00     5.014552e-02   1.195099e+00
7.382812e-01  7.968750e+02  6.104704e+00  7.096034e-01     5.395100e+00       6.046846e+00     4.992828e-02   1.197784e+00
7.617188e-01  7.968750e+02  6.082857e+00  4.876847e-01     5.595173e+00       6.025219e+00     4.978724e-02   1.198874e+00
7.851562e-01  8.437500e+02  6.000576e+00  2.792542e-01     5.721322e+00       6.003591e+00     4.976130e-02   1.224147e+00
8.085938e-01  8.437500e+02  6.038090e+00  1.993241e-01     5.838766e+00       5.980691e+00     4.965886e-02   1.222447e+00
8.320312e-01  8.437500e+02  6.015134e+00  2.299591e-01     5.785175e+00       5.957791e+00     4.965803e-02   1.218610e+00
8.554688e-01  8.437500e+02  5.992155e+00  6.202655e-01     5.371890e+00       5.934891e+00     4.963403e-02   1.218300e+00
